Unnamed: 0,No.,Title,Artist(s),lyrics,genres
0,1,"""Every Breath You Take""",The Police,"107 ContributorsTranslationsDeutschEvery Breath You Take Lyrics“Every Breath You Take” is, to this day, still perceived to be a love song. However, the lyrics are actually spoken from a character with sinister intent. During the time Sting wrote this song, he had just… Read More 
Every breath you take
And every move you make
Every bond you break, every step you take
I'll be watching you
Every single day
And every word you say
Every game you play, every night you stay
I'll be watching you

Oh, can't you see?
You belong to me
How my poor heart aches
With every step you take

Every move you make
And every vow you break
Every smile you fake, every claim you stake
I'll be watching you

Since you've gone, I've been lost without a trace
I dream at night, I can only see your face
I look around, but it's you I can't replace
I feel so cold, and I long for your embrace
I keep crying, baby, baby, please

Mmm, mmm, mmm, mmm
Mmm, mmm, mmm

Oh, can't you see?
You belong to me
How my poor heart aches
With every step you take

Every move you make
And every vow you break
Every smile you fake, every claim you stake
I'll be watching you
Every move you make, every step you take
I'll be watching you (250)

I'll be watching you
(Every breath you take, every move you make)
(Every bond you break, every step you take)
I'll be watching you
(Every single day, every word you say)
(Every game you play, every night you stay)
I'll be watching you
(Every move you make, every vow you break)
(Every smile you fake, every claim you stake)
I'll be watching you
(Every single day, every word you say)
(Every game you play, every night you stay)
I'll be watching you
(Every breath you take, every move you make)
(Every bond you break, every step you take)
I'll be watching you
(Every single day, every word you say)
(Every game you play, every night you stay)
I'll be watching you
(Every move you make, every vow you break)
(Every smile you fake, every claim you stake)
I'll be watching you
(Every single day, every word you say)
(Every game you play, every night you stay)
I'll be watching you
(Every breath you take, every move you make)
(Every bond you break, every step you take)
I'll be watching...","rock, new wave, classic rock, 80s, pop"
1,2,"""Billie Jean""",Michael Jackson,"277 ContributorsTranslationsEspañolPortuguêsעברית (Hebrew)FrançaisDeutschbosanskiItalianoРусский (Russian)Billie Jean LyricsOne of Michael Jackson’s signature songs, “Billie Jean” tells the tale of a young girl who claims to be the mother of Jackson’s alleged son. The song was the second single from his sixth solo album Thriller.… Read More 
She was more like a beauty queen from a movie scene
I said, ""Don't mind, but what do you mean, I am the one
Who will dance on the floor in the round?""
She said I am the one
Who will dance on the floor in the round
She told me her name was Billie Jean as she caused a scene
Then every head turned with eyes that dreamed of bein' the one
Who will dance on the floor in the round

People always told me, ""Be careful of what you do
Don't go around breakin' young girls' hearts"" (Hee-hee)
And mother always told me, ""Be careful of who you love
And be careful of what you do (Oh-oh)
'Cause the lie becomes the truth"" (Oh-oh), hey-ey

Billie Jean is not my lover, uh
She's just a girl who claims that I am the one (Oh, baby)
But the kid is not my son (Hoo)
She says I am the one (Oh, baby)
But the kid is not my son (Hee-hee-hee, no-no, hee-hee-hee, hoo)

For forty days and for forty nights, the law was on her side
But who can stand when she's in demand? Her schemes and plans
'Cause we danced on the floor in the round (Hee)
So take my strong advice
Just remember to always think twice
(Don't think twice) Do think twice! (A-hoo!)
She told my baby we'd danced 'til three, then she looked at me
Then showed a photo of a baby cryin', his eyes were like mine (Oh, no)
'Cause we danced on the floor in the round, baby (Ooh, hee-hee-hee)

People always told me, ""Be careful of what you do
And don't go around breakin' young girls' hearts"" (Don't break no hearts; hee-hee)
But she came and stood right by me
Just the smell of sweet perfume (Ha-oh)
This happened much too soon (Ha-oh, ha-ooh)
She called me to her room (Ha-oh, hoo), hey-ey

Billie Jean is not my lover (Hoo)
She's just a girl who claims that I am the one
But the kid is not my son
No-no-no, no-no-no-no-no-no (Hoo)
Billie Jean is not my lover, uh
She's just a girl who claims that I am the one (Oh, baby)
But the kid is not my son (Oh, no, no)
She says I am the one (Oh, baby)
But the kid is not my son (No, hee-hee-hee, ah, hee-hee-hee)

Hee, hoo

She says I am the one, uh
But the kid is not my son (No-no-no, hoo, ohh)
Billie Jean is not my lover, uh
She's just a girl who claims that I am the one (You know what you did to me, baby)
But the kid is not my son
No-no-no (No-no-no, ah), no-no-no-no (No-no-no)
She says I am the one (No)
But the kid is not my son (No-no-no-no)

She says I am the one (You know what you did)
She says he is my son (Breakin' my heart, babe)
She says I am the one
Yeah, yeah, Billie Jean is not my lover, uh
Yeah, Billie Jean is not my lover, uh
Yeah, Billie Jean is not my lover, uh (She is just a girl)
Yeah, Billie Jean is not my lover, uh (She is just a girl; don't call me Billie Jean, hoo)
Billie Jean is not my lover, uh (She is just a girl; she's not at the scene)
Billie Jean is not (Hee), aaow, ooh
Yeah, Billie Jean is","pop, 80s, michael jackson, dance, Disco"
2,3,"""Flashdance... What a Feeling""",Irene Cara,"45 ContributorsFlashdance... What a Feeling Lyrics“Flashdance… What a Feeling” is the title song to the 1983 film Flashdance. It is Irene Cara’s only number-one hit on the Billboard Hot 100, reaching the top that spring. It also won the Academy and Golden… Read More 
First, when there's nothing, but a slow glowing dream
That your fear seems to hide deep inside your mind
All alone, I have cried silent tears full of pride
In a world made of steel, made of stone

Well, I hear the music, close my eyes, feel the rhythm
Wrap around, take a hold of my heart

What a feelin', being's believin'
I can have it all, now I'm dancing for my life
Take your passion and make it happen
Pictures come alive, you can dance right through your life

Now I hear the music, close my eyes, I am rhythm
In a flash, it takes hold of my heart

What a feelin', being's believin'
I can have it all, now I'm dancing for my life
Take your passion, and make it happen
Pictures come alive, now I'm dancing through my life

What a feelin'


What a feeling (I am music now), being's believin' (I am rhythm now)
Pictures come alive, you can dance right through your life
What a feelitg (I can really have it all)
What a feeling (Pictures come alive when I call)
I can have it all (I can really have it all)
Have it all (Pictures come alive when I call)
(Call, call, call, call, oh, what a feeling) I can have it all
(Being's believin'
(Take your passion (Being's believin', oh)
Make it happen) Make it happen
(What a feeling) What a feeling
(Being's believin')...","pop, 80s, female vocalists, Disco, dance"
3,4,"""Down Under""",Men at Work,"115 ContributorsTranslationsEspañolDown Under LyricsThe song was released in 1981 on Men At Work’s first LP Business As Usual.

The group went to court over the flute riff sounding too much like Kookaburra.
By far Men At Work’s biggest American hit, this… Read More 
Traveling in a fried-out Kombi
On a hippie trail, head full of zombie
I met a strange lady, she made me nervous
She took me in and gave me breakfast
And she said

""Do you come from a land down under?
Where women glow and men plunder
Can't you hear, can't you hear the thunder?
You better run, you better take cover""

Buyin' bread from a man in Brussels
He was six-foot-four and full of muscle
I said, ""Do you speak-a my language?""
He just smiled and gave me a Vegemite sandwich
And he said
""I come from a land down under
Where beer does flow and men chunder
Can't you hear, can't you hear the thunder?
You better run, you better take cover"", yeah


Lyin' in a den in Bombay
With a slack jaw, and not much to say
I said to the man, ""Are you trying to tempt me?
Because I come from the land of plenty""
And he said

""Oh, do you come from a land down under?"" Oh yeah, yeah
""Where women glow and men plunder
Can't you hear, can't you hear the thunder? Oh
You better run, you better take cover""
'Cause we are living in a land down under
Where women glow and men plunder
(Yeah, thunder, thunder) Can't you hear, can't you hear the thunder?
You better, better run, you better take cover
Living in a land down under
Where women glow and men plunder
Can't you hear, can't you hear the thunder? Oh, yeah
You better run, you better take cover
We are living in a land down under, yeah, yeah
Where women glow and men plunder
(Can you, can you hear the thunder?) Can't you hear, can't you hear the thunder?
You better run, you better take cover
Living in a land down under (Living in a land down under)
Where women glow and men plunder
(Oh, hear) Can't you hear, can't you hear the thunder?","80s, new wave, rock, australian, pop"
4,5,"""Beat It""",Michael Jackson,"157 ContributorsTranslationsPortuguêsbosanskiTürkçeРусский (Russian)EspañolBeat It LyricsReleased as the third single from Thriller, “Beat It""—along with the second single ""Billie Jean""—helped propel the album to the top of the charts and into the record books as the biggest-selling album of all… Read More 
They told him, ""Don't you ever come around here
Don't wanna see your face, you better disappear""
The fire's in their eyes and their words are really clear
So beat it, just beat it (Rrr)
You better run, you better do what you can (Ooh)
Don't wanna see no blood, don't be a macho man (Ooh)
You wanna be tough, better do what you can
So beat it, but you wanna be bad

Just beat it (Beat it), beat it (Beat it)
No one wants to be defeated
Show them how funky and strong is your fight
It doesn't matter who's wrong or right
Just beat it (Beat it), just beat it (Beat it)
Just beat it (Beat it), just beat it (Beat it, ooh)

They're out to get you, better leave while you can
Don't wanna be a boy, you wanna be a man
You wanna stay alive, better do what you can
So beat it, just beat it (Rrr)
You have to show them that you're really not scared (Ooh)
You're playin' with your life, this ain't no truth or dare (Ooh)
They'll kick you, then they'll beat you, then they'll tell you it's fair
So beat it, but you wanna be bad

Just beat it (Beat it), beat it (Beat it)
No one wants to be defeated
Show them how funky and strong is your fight
It doesn't matter who's wrong or right
Just beat it (Beat it), beat it (Beat it)
No one wants to be defeated
Show them how funky and strong is your fight
It doesn't matter who's wrong or right

Just beat it (Beat it, beat it, beat it)
Beat it (Beat it, beat it)
Beat it (Beat it, beat it)
Beat it (Beat it, beat it)
Beat it (Beat it, beat it)

Beat it (Beat it), beat it (Beat it)
No one wants to be defeated
Show them how funky and strong is your fight
It doesn't matter who's wrong or right (Who's right)
Just beat it (Hoo-hoo; Beat it), beat it (Beat it)
No one wants to be defeated (No one)
Show them how funky and strong is your fight (Hee-hee, hee-hee-hee)
It doesn't matter who's wrong or right
Just beat it (Beat it), beat it (Beat it)
No one wants to be defeated (Oh, no)
Show them how funky and strong is your fight (Hoo-hoo, hee-hee)
It doesn't matter who's wrong or right (Hoo)
Just beat it (Beat it), beat it (Beat it)
No one wants to be defeated
Show them how funky and strong is your fight
It doesn't matter who's wrong or right (Who's right)
Just beat it (Beat it), beat it (Beat it, hoo-hoo)
No one wants to be—","pop, 80s, michael jackson, dance, rock"
5,6,"""Total Eclipse of the Heart""",Bonnie Tyler,"91 ContributorsTranslationsTürkçeΕλληνικάفارسیDeutschTotal Eclipse of the Heart Lyrics“Total Eclipse of the Heart” was written by Jim Steinman and released by Bonnie Tyler in 1983. It reached number 1 in several countries, including the UK and US.
The “turn around, bright eyes” refrain… Read More 
(Turn around)
Every now and then, I get a little bit lonely
And you're never coming 'round
(Turn around)
Every now and then, I get a little bit tired
Of listening to the sound of my tears
(Turn around)
Every now and then, I get a little bit nervous
That the best of all the years have gone by
(Turn around)
Every now and then, I get a little bit terrified
And then I see the look in your eyes

(Turn around, bright eyes)
Every now and then, I fall apart
(Turn around, bright eyes)
Every now and then, I fall apart

(Turn around)
Every now and then, I get a little bit restless
And I dream of something wild
(Turn around)
Every now and then, I get a little bit helpless
And I'm lying like a child in your arms
(Turn around)
Every now and then, I get a little bit angry
And I know I've got to get out and cry
(Turn around)
Every now and then, I get a little bit terrified
But then I see the look in your eyes

(Turn around, bright eyes)
Every now and then, I fall apart
(Turn around, bright eyes)
Every now and then, I fall apart

And I need you now tonight
And I need you more than ever
And if you only hold me tight
We'll be holding on forever
And we'll only be making it right
'Cause we'll never be wrong
Together, we can take it to the end of the line
Your love is like a shadow on me all of the time (All of the time)
I don't know what to do and I'm always in the dark
We're living in a powder keg and giving off sparks
I really need you tonight
Forever's gonna start tonight
Forever's gonna start tonight

Once upon a time, I was falling in love
But now I'm only falling apart
There's nothing I can do
A total eclipse of the heart
Once upon a time, there was light in my life
But now there's only love in the dark
Nothing I can say
A total eclipse of the heart

(Turn around, bright eyes)
(Turn around, bright eyes)

(Turn around)
Every now and then, I know you'll never be the boy
You always wanted to be
(Turn around)
But every now and then, I know you'll always be the only boy
Who wanted me the way that I am
(Turn around)
Every now and then, I know there's no one in the universe
As magical and wondrous as you
(Turn around)
Every now and then, I know there's nothing any better
There's nothing that I just wouldn't do

(Turn around, bright eyes)
Every now and then, I fall apart
(Turn around, bright eyes)
Every now and then, I fall apart

And I need you now tonight (And I need you)
And I need you more than ever
And if you only hold me tight (If you love me)
We'll be holding on forever
And we'll only be making it right (And we'll never)
'Cause we'll never be wrong
Together, we can take it to the end of the line
Your love is like a shadow on me all of the time (All of the time)
I don't know what to do, I'm always in the dark
We're living in a powder keg and giving off sparks
I really need you tonight
Forever's gonna start tonight
(Forever's gonna start tonight)

Once upon a time, I was falling in love
But now I'm only falling apart
Nothing I can do
A total eclipse of the heart
Once upon a time, there was light in my life
But now there's only love in the dark
Nothing I can say
A total eclipse of the heart
A total eclipse of the heart
A total eclipse of the heart

(Turn around, bright eyes)
(Turn around, bright eyes)
(Turn around)
(Ooh-ooh)
(Ah-ha, ah-ha)
(Ah-ha, ah-ha)
(Ooh-ooh)","pop, 80s, female vocalists, rock, classic rock"
6,7,"""Maneater""",Daryl Hall & John Oates,"60 ContributorsTranslationsDeutschManeater LyricsThe 1982 number one hit for the duo, topped the charts for 4 weeks.
Per Daryl Hall –
John had written a prototype of “Maneater”; he was banging it around with Edgar Winter. It was like a reggae song. I said… Read More 
She'll only come out at night
The lean and hungry type
Nothing is new, I've seen her here before
Watching and waiting
Ooh, she's sitting with you, but her eyes are on the door
So many have paid to see
What you think you're getting for free
The woman is wild, a she-cat tamed by the purr of a Jaguar
Money's the matter
If you're in it for love, you ain't gonna get too far

Oh-oh, here she comes
Watch out, boy, she'll chew you up
Oh-oh, here she comes
She's a man-eater
Oh-oh, here she comes
Watch out, boy, she'll chew you up
Oh-oh, here she comes
She's a man-eater (Uh-huh)

I wouldn't if I were you
I know what she can do
She's deadly, man, and she could really rip your world apart
Mind over matter
Ooh, the beauty is there, but a beast is in the heart

Oh-oh, here she comes
Watch out, boy, she'll chew you up
Oh-oh, here she comes
She's a man-eater
Oh-oh, here she comes
Watch out, boy, she'll chew you up
Oh-oh, here she comes
She's a man-eater (Uh-huh)
(Hey)
Ooh

Woah-oh, here she comes (Here she comes)
Watch out, boy, she'll chew you up
Woah-oh, here she comes (Watch out)
She's a man-eater
Woah-oh, here she comes (She's a man-eater)
Ooh, she'll chew you up
(Oh-oh, here she comes)
Here she comes, she's a man-eater
Oh-oh, here she comes (Watch out)
She'll only come out at night, ooh
(Oh-oh, here she comes)
Here she comes, she's a man-eater, ooh
(Oh-oh, here she comes, she's a man-eater)
The woman is wild, woo
(Oh-oh, here she comes)
Here she comes, watch out, boy, watch out, boy
(Oh-oh, here she comes)
Oh, watch out, watch out, watch out, watch out
(Oh-oh, here she comes, watch out)
Yeah, yeah, she's a man-eater
(Oh-oh, here she comes, she's a man-eater)
She's watching and waiting, ooh
(Oh-oh, here she comes)
Oh, she's a man-eater","80s, pop, soft rock, classic rock, rock"
7,8,"""Baby, Come to Me""",Patti Austin and James Ingram,"16 ContributorsBaby, Come to Me LyricsOriginally, “Baby, Come to Me” peaked at #73 on the Billboard Hot 100 in the spring of 1982, but after it was featured on the ABC network soap opera General Hospital, it was re-released and topped the… Read More 
Thinkin' back in time
When love was only in my mind, I realize
Ain't no second chance
You've got to hold on to romance
Don't let it slide
There's a special kind of magic in the air
When you find another heart that needs to share

Baby, come to me
Let me put my arms around you
This was meant to be
And I'm, oh so glad I found you
Need you every day
Gotta have your love around me
Baby, always stay
'Cause I can't go back to livin' without you

Spendin' every dime to keep you talkin' on the line
That's how it was
And all those walks together out in any kind of weather
Just because
There's a brand new way of looking at your life
When you know that love is standing by your side

Baby, come to me
Let me put my arms around you
This was meant to be (Oh, come to me)
And I'm, oh so glad I found you (I'm so glad that I found you)
Need you every day
Gotta have your love around me (Got to have you, baby)
Baby, always stay
'Cause I can't go back to livin' without you

The nights can be cold
There's a chill to every evening when you're all alone
Don't talk any more
'Cause you know that I'll be here to keep you warm
Oh, darling, keep me warm

Baby, come to me (Come to me, my love)
Let me put my arms around you
This was meant to be
And I'm, oh so glad I found you (Oh so glad I found you)
Need you every day (Every day)
Gotta have your love around me (I gotta have you)
Baby, always stay
'Cause I can't go back to livin' without you
Come to me (Let me put my arms around you)
Let me put my arms around you (Hey!)
This was meant to be
And I'm oh so glad I found you (I need you every day, baby)
Need you every day (Gotta have)
Gotta have your love around me
Baby, always stay (Oh, I want you to stay)
'Cause I can't go back to livin' without you
Come to me (Come to me)
Let me put my arms around you
This was meant to be (Let me love you, baby)
And I'm oh so glad I found you (Glad that I found you)
Need you every day (Got to have you, babe)
Gotta have your love around me
Baby, always stay (Oh, always stay)
I can't go back to livin' without you","soul, rnb, female vocalists, duet, Home collection"
8,9,"""Maniac""",Michael Sembello,"34 ContributorsTranslationsDeutschManiac LyricsOne of the most notable songs made famous by a movie. Phil Ramone was not only the producer of the track but the music supervisor for 1983 movie Flashdance, which would launch it into success.
Sembello wrote… Read More 
Just a steel town girl on a Saturday night
Lookin' for the fight of her life
In the real-time world, no one sees her at all
They all say she's crazy
Locking rhythms to the beat of her heart
Changing movement into light
She has danced into the danger zone
When the dancer becomes the dance

It can cut you like a knife
If the gift becomes the fire
On the wire between will and what will be

She's a maniac, maniac on the floor
And she's dancing like she's never danced before
She's a maniac, maniac on the floor
And she's dancing like she's never danced before

On the ice-blue line of insanity
Is a place most never see
It's a hard-won place of mystery
Touch it, but can't hold it
You work all your life for that moment in time
It could come or pass you by
It's a push-shove world, but there's always a chance
If the hunger stays the night

There's a cold kinetic heat
Struggling, stretching for the peak
Never stopping with her head against the wind

She's a maniac, maniac at your door
And she's dancing like she's never danced before
She's a maniac, maniac at your door
And she's dancing like she's never danced before

Ooh, oh
Oh


It can cut you like a knife
If the gift becomes the fire
On the wire between will and what will be

She's a maniac, maniac at your door
And she's dancing like she's never danced before
She's a maniac, maniac at your door
And she's dancing like she's never danced before
Maniac, maniac at your door
And she's dancing like she's never danced before","80s, pop, new wave, Soundtrack, rock"
9,10,"""Sweet Dreams (Are Made of This)""",Eurythmics,"87 ContributorsTranslationsΕλληνικάDeutschEspañolDeutschУкраїнськаFrançaisSweet Dreams (Are Made of This) LyricsEurythmics’ bold musical experimentation culminated in “Sweet Dreams”—the fourth single from duo’s second album, and their biggest hit.
When they wrote “Sweet Dreams,” Annie Lennox and Dave Stewart’s… Read More 
Sweet dreams are made of this
Who am I to disagree?
I travel the world and the seven seas
Everybody's looking for something

Some of them want to use you
Some of them want to get used by you
Some of them want to abuse you
Some of them want to be abused

Sweet dreams are made of this
Who am I to disagree?
I travel the world and the seven seas
Everybody's looking for something

Hold your head up
Keep your head up (Movin' on)
Hold your head up (Movin' on)
Keep your head up (Movin' on)
Hold your head up (Movin' on)
Keep your head up (Movin' on)
Hold your head up (Movin' on)
Keep your head up


Some of them want to use you
Some of them want to get used by you
Some of them want to abuse you
Some of them want to be abused

Sweet dreams are made of this
Who am I to disagree?
I travel the world and the seven seas
Everybody's looking for something
Sweet dreams are made of this
Who am I to disagree?
I travel the world and the seven seas
Everybody's looking for something
Sweet dreams are made of this
Who am I to disagree?
I travel the world and the seven seas
Everybody's looking for something
Sweet dreams are made of this
Who am I to disagree?
I travel the world and the seven seas
Everybody's looking for something
Sweet dreams are made of this
Who am I to disagree?
I travel the world and the seven seas
Everybody's looking for something
Sweet dreams are made of this","new wave, 80s, pop, female vocalists, synth pop"
