Unnamed: 0,No.,Title,Artist(s),lyrics,genres
0,1,"""Rolling in the Deep""",Adele,"126 ContributorsTranslationsFrançaisEspañolPortuguêsΕλληνικάفارسیTürkçeفارسیItalianoDeutschالعربيةRolling in the Deep LyricsThe 2012 song and record of the Year at the Grammy’s, “Rolling In The Deep” was described in an interview with Spin Magazine as a ‘gospel disco’ kiss-off to an unfaithful dude:
It’s me saying, ‘Get the fuck… Read More 
There's a fire starting in my heart
Reaching a fever pitch and it's bringing me out the dark
Finally, I can see you crystal clear
Go ahead and sell me out and I'll lay your shit bare
See how I'll leave with every piece of you
Don't underestimate the things that I will do
There's a fire starting in my heart
Reaching a fever pitch and it's bringing me out the dark

The scars of your love remind me of us
They keep me thinkin' that we almost had it all
The scars of your love, they leave me breathless
I can't help feeling

We could've had it all (You're gonna wish you never had met me)
Rolling in the deep (Tears are gonna fall, rolling in the deep)
You had my heart inside of your hand (You're gonna wish you never had met me)
And you played it to the beat (Tears are gonna fall, rolling in the deep)

Baby, I have no story to be told
But I've heard one on you, now I'm gonna make your head burn
Think of me in the depths of your despair
Make a home down there, as mine sure won't be shared

(You're gonna wish you never had met me) The scars of your love remind me of us
(Tears are gonna fall, rolling in the deep) They keep me thinkin' that we almost had it all
(You're gonna wish you never had met me) The scars of your love, they leave me breathless
(Tears are gonna fall, rolling in the deep) I can't help feeling

We could've had it all (You're gonna wish you never had met me)
Rolling in the deep (Tears are gonna fall, rolling in the deep)
You had my heart inside of your hand (You're gonna wish you never had met me)
And you played it to the beat (Tears are gonna fall, rolling in the deep)
Could've had it all
Rolling in the deep
You had my heart inside of your hand
But you played it with a beating

Throw your soul through every open door (Ooh woah, oh)
Count your blessings to find what you look for (Woah)
Turn my sorrow into treasured gold (Ooh woah, oh)
You'll pay me back in kind and reap just what you've sown

(You're gonna wish you never had met me)
We could've had it all (Tears are gonna fall, rolling in the deep)
We could've had it all, yeah (You're gonna wish you never had met me)
It all, it all, it all (Tears are gonna fall, rolling in the deep)

We could've had it all (You're gonna wish you never had met me)
Rolling in the deep (Tears are gonna fall, rolling in the deep)
You had my heart inside of your hand (You're gonna wish you never had met me)
And you played it to the beat (Tears are gonna fall, rolling in the deep)
Could've had it all (You're gonna wish you never had met me)
Rolling in the deep (Tears are gonna fall, rolling in the deep)
You had my heart inside of your hand (You're gonna wish you never had met me)
But you played it, you played it, you played it
You played it to the beat","soul, female vocalists, british, singer-songwriter, indie"
1,2,"""Party Rock Anthem""",LMFAO featuring Lauren Bennett and GoonRock,"152 ContributorsTranslationsPortuguêsDeutschParty Rock Anthem Lyrics“Party Rock Anthem” is the first single off Party Rock Anthem’s sophomore album Sorry for Party Rocking. Its electronic, club-friendly production and catchy chorus propelled it to #1 on the Billboard Hot 100,… Read More 
Party Rock
Yeah
Woo
Let's go

Party Rock is in the house tonight
Everybody just have a good time (Yeah)
And we gon' make you lose your mind (Woo)
Everybody just have a good time (Clap)
Party Rock is in the house tonight (Oh)
Everybody just have a good time (I can feel it, baby)
And we gon' make you lose your mind (Yeah)
We just wanna see you
Shake that

In the club, Party Rock
Looking for your girl? She on my jock (Huh)
Non-stop when we in the spot
Booty moving weight like she on the block (Woo)
Where the drank? I gots to know
Tight jeans, tattoo, 'cause I'm rock and roll
Half-black, half-white, domino
Gainin' money, Oprah, dough

Yo, I'm runnin' through these hoes like Drano
I got that devilish flow, rock and roll, no halo
We Party Rock, yeah, that's the crew that I'm reppin'
On the rise to the top, no Led in our Zeppelin (Hey)

Party Rock is in the house tonight (Woo)
Everybody just have a good time (Yeah)
And we gon' make you lose your mind
Everybody just have a good time (Let's go)
Party Rock is in the house tonight
Everybody just have a good time (I can feel it, baby)
And we gon' make you lose your mind
We just wanna see you
Shake that

Every day I'm shufflin'
(Shake)
Shufflin', shufflin' (Shake)

Step up fast and be the first girl to make me throw this cash
We get money, don't be mad, now stop, hatin' is bad
One more shot for us (Another round)
Please fill up my cup (Don't mess around)
We just wanna see (You shake it now)
Now you home with me (You're naked now)

Get up, get down, put your hands up to the sound
Get up, get down, put your hands up to the sound
Get up, get down, put your hands up to the sound (Woo)
Put your hands up to the sound, put your hands up to the sound (Let's go)
Get up, get up, get up, get up
Get up, get up, get up, get up (Yeah)
Get up, put your hands up to the sound, to the sound (Woo)
Put your hands up, put your hands up, put your hands up, put your hands up

Party Rock is in the house tonight (Put your hands up; woo)
Everybody just have a good time (Put your hands up; yeah)
And we gon' make you lose your mind (Put your hands up)
Everybody just have a good, good, good time

Oh (Put your hands up)
Oh (I can feel it, baby)
Oh (Put your hands up)
Oh (Put your hands up)
Shake that
Every day I'm shu-ffl-fflin'
Put your, put your
Put your, put your (Yeah)
Put your, put your (Woo)
—nds up
Put your, put your
Your hands up
Your hands up
Put your hands up",
2,3,"""Firework""",Katy Perry,"139 ContributorsTranslationsPortuguêsTürkçeItalianoEspañolČeskyCatalàFirework Lyrics“Firework” is a song by American singer Katy Perry from her third studio album, Teenage Dream. The song was released as the third single, following the success of singles “California Gurls” and “Teenage… Read More 
Do you ever feel like a plastic bag
Drifting through the wind, wanting to start again?
Do you ever feel, feel so paper-thin
Like a house of cards, one blow from cavin' in?
Do you ever feel already buried deep?
Six feet under screams, but no one seems to hear a thing
Do you know that there's still a chance for you?
'Cause there's a spark in you

You just gotta ignite the light
And let it shine
Just own the night
Like the Fourth of July

'Cause baby, you're a firework
Come on, show 'em what you're worth
Make 'em go, ""Ah, ah, ah""
As you shoot across the sky-y-y
Baby, you're a firework
Come on, let your colors burst
Make 'em go, ""Ah, ah, ah""
You're gonna leave 'em all in awe, awe, awe

You don't have to feel like a waste of space
You're original, cannot be replaced
If you only knew what the future holds
After a hurricane comes a rainbow
Maybe a reason why all the doors are closed
So you could open one that leads you to the perfect road
Like a lightning bolt, your heart will glow
And when it's time, you'll know

You just gotta ignite the light
And let it shine
Just own the night
Like the Fourth of July

'Cause baby, you're a firework
Come on, show 'em what you're worth
Make 'em go, ""Ah, ah, ah""
As you shoot across the sky-y-y
Baby, you're a firework
Come on, let your colors burst
Make 'em go, ""Ah, ah, ah""
You're gonna leave 'em all in awe, awe, awe

Boom, boom, boom
Even brighter than the moon, moon, moon
It's always been inside of you, you, you
And now it's time to let it throu-ou-ough

'Cause baby, you're a firework
Come on show 'em what you're worth
Make 'em go, ""Ah, ah, ah,""
As you shoot across the sky-y-y
Baby, you're a firework
Come on, let your colors burst
Make 'em go, ""Ah, ah, ah""
You're gonna leave 'em all in awe, awe, awe

""Boom, boom, boom""
Even brighter than the moon, moon, moon
""Boom, boom, boom""
Even brighter than the moon, moon, moon","pop, female vocalists, pop rock, indie, rock"
3,4,"""E.T.""",Katy Perry featuring Kanye West,"2 ContributorsTranslationsEnglishEspañolČeskyKaty Perry - E.T. (Remix) ft. Kanye West (Tradução em Português) Lyrics

Eu tenho uma mente suja, eu tenho um jeito podre
Eu estou tentando banhar meu primata na sua Via Láctea
Eu sou uma lenda, eu sou irreverente, eu serei reverendo
Eu estarei tão longe, acima, acima, acima, acima
Nós não damos a mínima, uh, oh
Bem-vindo à zona de perigo, entre na fantasia
Agora você está convidado para o outro lado da sanidade
Eles me chamam de alienígena, um astronauta egocêntrico
Talvez seja porque o seu garoto, Yeezy, arranja mulheres fácil

Você é tão hipnotizante, poderia ser o diabo?
Poderia ser um anjo? Seu toque, magnetizante
Parece que estou flutuando
Você faz meu corpo irradiar
Eles dizem: Tenha medo
Você não é como os outros
Amante futurista
DNA diferente
Eles não te entendem

Você é de um outro mundo
Uma outra dimensão
Você abre meus olhos
E eu estou pronta para ir, me guia para a luz

Beije-me, be-be-beije-me
Infecte-me com seu amor
Me preencha com o seu veneno
Leve-me, le-le-leve-me
Quero ser sua vítima
Pronta para abdução
Garoto, você é um alienígena
Seu toque é de outro mundo
É sobrenatural, extraterrestre

Você é tão supersônico
Quero sentir seus poderes
Me atordoe com seus lasers
Seu beijo é cósmico
Cada movimento é mágico

Você é de um outro mundo
Uma dimensão diferente
Você abre meus olhos
E eu estou pronta para ir, me guie para a luz

Beije-me, be-be-beije-me
Infecte-me com seu amor
Me preencha com o seu veneno
Leve-me, le-le-leve-me
Quero ser sua vítima
Pronta para abdução
Garoto, você é um alienígena
Seu toque é de outro mundo
É sobrenatural, extraterrestre

Eu conheço um bar em Marte
Onde eles dirigem naves espaciais ao invés de carros
Roube um traje espacial da Prada sobre estrelas
Ficando estupidamente bêbado, direto das jarras
Bolsos rasgados, foguetes no convés
Diga-me o que vem a seguir, sexo alienígena?
Eu vou despir você, depois vou te penetrar
Veja, eu te abduzi, então eu te digo o que fazer
Eu te digo o que fazer, o que fazer, o que fazer

Beije-me, be-be-beije-me
Infecte-me com seu amor
Me preencha com o seu veneno
Leve-me, le-le-leve-me
Quero ser sua vítima
Pronta para abdução
Garoto, você é um alienígena
Seu toque é de outro mundo
É sobrenatural, extraterrestre

Extraterrestre, extraterrestre
Garoto, você é um alienígena
Seu toque é de outro mundo
É sobrenatural, extraterrestre","pop, female vocalists, pop rock, indie, rock"
4,5,"""Give Me Everything""","Pitbull featuring Ne-Yo, Afrojack and Nayer","3 ContributorsTranslationsEnglishDeutschPitbull - Give Me Everything ft. Ne-Yo, Afrojack & Nayer (Tradução em Português) Lyrics

Não estou trabalhando duro?
É, certo, fotografe isso com uma Kodak
E melhor ainda, vá à Times Square
Tire uma foto minha com uma Kodak
Tire a minha vida do negativo ao positivo
E eu só quero que todos vocês saibam
Que à noite, vamos curtir a vida
Pitbull, Nayer, Ne-Yo!
À noite eu quero tudo de você, à noite
Me dê tudo à noite
Para todos sabermos que podemos não alcançar o amanhã
Vamos fazer isso à noite
(Não se importe com o que eles dizem
Todos os jogos que eles jogam, nada é suficiente
Até que eles mexam com o amor), vamos fazer isso à noite
(Eu quero você à noite, eu quero que você fique
Eu quero você à noite)
Pegue alguém sexy e diga-a, me dê tudo à noite
Me dê tudo à noite, me dê tudo à noite, me dê tudo à noite

Ocupe-se à noite porque cada vez mais faço o mal antes a Prius
Desesperado à noite, posso te fazer minha rainha
E fazer amor com você infinitamente
Isso é insano
A maneira como o nome cresce, o dinheiro se mantém fluindo
Os trabalhadores se movem para o lado
Então estou na ponta dos pés, mantenha fluindo
Fiquei trancado como a Lindsay Lohan
Coloque isso na minha vida, querida
Posso fazer te sentir bem, querida
Não posso prometer o amanhã mas prometo a noite
Dale
Me perdoe
Mas eu posso beber um pouco mais do que deveria, à noite
E eu posso te levar pra casa comigo se eu puder, à noite
E querida, eu posso te fazer sentir tão bem à noite
Porque nós podemos não alcançar o amanhã
À noite eu quero tudo de você, à noite
Me dê tudo à noite
Para todos sabermos que podemos não alcançar o amanhã
Vamos fazer isso à noite
(Não se importe com o que eles dizem
Todos os jogos que eles jogam, nada é suficiente
Até que eles mexam com o amor)
Vamos fazer isso à noite, (eu quero você à noite
Eu quero que você fique, eu quero você à noite)

Pegue alguém sexy e diga-o, me dê tudo à noite
Me dê tudo à noite, me dê tudo à noite, me dê tudo à noite
Alcance as estrelas
E se você pegá-las, pelo menos você está no topo do mundo
Pense nisso
Porque se você escorregar, eu irei cair em cima de você, garota
Coloque bolas quando eles dormirem no Macy's
E não há segredo
Minha avó é de Cuba, mas sou americano
Amarrado sobre o dinheiro, como Seacrest
Coloque isso na minha vida, querida
Posso fazer você se sentir bem, querida
Não posso prometer o amanhã mas prometo a noite
Dale
Me perdoe
Mas eu talvez beba um pouco mais do que deveria, à noite
E eu posso te levar pra casa comigo se eu puder, à noite
E querida, eu posso te fazer sentir tão bem à noite
Porque nós podemos não alcançar o amanhã
À noite eu quero tudo de você, à noite, me dê tudo à noite
Para todos sabermos que podemos não alcançar o amanhã
Vamos fazer isso à noite

(Não se importe com o que eles dizem
Todos os jogos que eles jogam, nada é suficiente
Até que eles mexam com o amor), vamos fazer isso à noite
(Eu quero você à noite, eu quero que você fique
Eu quero você à noite)
Pegue alguém sexy e diga-o, me dê tudo à noite
Me dê tudo à noite, me dê tudo à noite, me dê tudo à noite
Me perdoe
Mas eu talvez beba um pouco mais do que deveria, à noite
E eu posso te levar pra casa comigo se eu puder, à noite
E querida, eu posso te fazer sentir tão bem à noite
Porque nós podemos não alcançar o amanhã",
5,6,"""Grenade""",Bruno Mars,"145 ContributorsTranslationsPortuguêsFrançaisTürkçeEspañolالعربيةDeutschGrenade Lyrics“Grenade” is the second single from Bruno Mars' debut album Doo-Wops & Hooligans.
In an interview with Idolator, Bruno explained the backstory of how the song was created and what it meant for him to sing… Read More 
Easy come, easy go, that's just how you live, oh
Take, take, take it all, but you never give
Shoulda known you was trouble from the first kiss
Had ya eyes wide open, uh, why were they open?

(Woo-ooh) Gave you all I had, and you tossed it in the trash
(Woo-ooh) You tossed it in the trash, you did
(Woo-ooh) To give me all your love is all I ever asked
'Cause what ya don't understand is

I'd catch a grenade for ya (Yeah, yeah, yeah)
Throw my hand on a blade for ya (Yeah, yeah, yeah)
I'd jump in front of a train for ya (Yeah, yeah, yeah)
You know I'd do anything for ya (Yeah, yeah, yeah), oh-oh-oh-oh-oh
I would go through all this pain (Ooh)
Take a bullet straight through my brain (Ooh-ooh-ooh-ooh)
Yes, I would die for you, baby (Ooh)
But you won't do the same

No, no, no, no-oh-oh-oh
Uh

Black, black, black and blue, beat me 'til I'm numb
Tell the devil I said ""hey"" when you get back to where you're from
Mad woman, bad woman, that's just what you are
Yeah, you'll smile in my face, then rip the brakes out my car

(Woo-ooh) Gave you all I had, and you tossed it in the trash
(Woo-ooh) You tossed it in the trash, yes, you did
(Woo-ooh) To give me all your love is all I ever asked
'Cause what you don't understand is

I'd catch a grenade for ya (Yeah, yeah, yeah)
Throw my hand on a blade for ya (Yeah, yeah, yeah)
I'd jump in front of a train for ya (Yeah, yeah, yeah)
You know I'd do anything for ya (Yeah, yeah, yeah), oh-oh-oh-oh-oh
I would go through all this pain (Ooh)
Take a bullet straight through my brain (Ooh-ooh-ooh-ooh)
Yes, I would die for you, baby (Ooh)
But you won't do the same

(No) If my body was on fire
(No) Ooh, you'd watch me burn down in flames
(No) You said you loved me, you're a liar
'Cause you never, ever, ever did, baby

(Uh) But darlin', I'd still catch a grenade for ya (Yeah, yeah, yeah)
Throw my hand on a blade for ya (Yeah, yeah, yeah)
I'd jump in front of a train for ya (Yeah, yeah, yeah)
You know I'd do anything for ya (Yeah, yeah, yeah), ooh-ooh-ooh-ooh-ooh
I would go through all this pain (Ooh)
Take a bullet straight through my brain (Ooh-ooh-ooh-ooh)
Yes, I would die for you, baby (Ooh)
But you won't do the same

No, you won't do the same
You wouldn't do the same
Ooh, you'd never do the same
No, no, no, no, oh-woah-oh","pop, rnb, male vocalists, r&b, slow jams"
6,7,"""Fuck You (Forget You)""",CeeLo Green,"51 ContributorsForget You Lyrics“Forget You” is the clean version of CeeLo Green’s 2010 song “Fuck You.” It was released on August 19, 2010, along with “Fuck You” and its deluxe single release.
I see you drivin' 'round town with the girl I love
And I'm like, ""Forget you"" (Ooh-ooh-ooh)
I guess the change in my pocket wasn't enough
I'm like, ""Forget you and forget her too""
Said if I was richer, I'd still be with ya
Hah, now ain't that some shh? (Ain't that some shh?)
And although there's pain in my chest
I still wish you the best
With a ""Forget you"" (Ooh, ooh, ooh-ooh)

Yeah, I'm sorry, I can't afford a Ferrari
But that don't mean I can't get you there
I guess he's an Xbox and I'm more Atari
But the way you play your game ain't fair

I pity the fool, that falls in love with you, oh
Oh, shh, she's a gold digger
(Well?) Just thought you should know
Ooh-ooh-ooh, I've got some news for you (Huh-uh)
(""Yeah, go run and tell your little boyfriend”)

I see you drivin' 'round town with the girl I love
And I'm like, ""Forget you"" (Ooh-ooh-ooh)
I guess the change in my pocket wasn't enough
I'm like, ""Forget you and forget her too""
Said if I was richer, I'd still be with ya
Hah, now ain't that some shh? (Ain't that some shh?)
And although there's pain in my chest
I still wish you the best
With a ""Forget you"" (Ooh, ooh, ooh-ooh)

Now I know, that I had to borrow, huh
Beg and steal and lie and cheat
Tryin' to keep ya, tryin' to please ya
'Cause being in love with your *** ain't cheap, nah

I pity the fool, that falls in love with you, oh
Oh, shh, she's a gold digger
(Well?) Just thought you should know
Ooh-ooh-ooh, I've got some news for you (Huh-uh)
Ooh, I really hate yo *** right now

I see you drivin' 'round town with the girl I love
And I'm like, ""Forget you"" (Ooh, ooh, ooh)
I guess the change in my pocket wasn't enough
I'm like, ""Forget you and forget her too""
Said if I was richer, I'd still be with ya
Hah, now ain't that some shh? (Ain't that some shh?)
And although there's pain in my chest
I still wish you the best
With a ""Forget you"" (Ooh, ooh, ooh-ooh)

Now, baby, baby, baby, why you wanna, wanna hurt me so bad? (So bad, so bad, so bad)
I tried to tell my momma, but she told me, “This is one for your dad”
(Your dad, your dad, your dad)
Yes, she did, and I'm like
Uh, why?
Uh, why?
Uh, why, lady?
Oh, I love you
Oh, I still love you, oh-oh

I see you drivin' 'round town with the girl I love
Uh, ""Forget you"" (Ooh-ooh-ooh)
I guess the change in my pocket wasn't enough
I'm like, ""Forget you and forget her too""
Said if I was richer, I'd still be with ya
Hah, now ain't that some shh? (Ain't that some shh?)
And although there's pain in my chest
I still wish you the best
With a ""Forget you"" (Ooh, ooh, ooh-ooh)","soul, funk, Hip-Hop, rnb, hip hop"
7,8,"""Super Bass""",Nicki Minaj,"183 ContributorsTranslationsPortuguêsSuper Bass LyricsOriginally released on April 5, 2011, as a Pink Friday deluxe edition cut, “Super Bass” quickly turned into a massive hit. On the song, Nicki raps about love and legitimate industry dudes.
Nicki described… Read More 
Yeah, yeah, yeah, hey

This one is for the boys with the boomin' system
Top down, AC with the cooler system
When he come up in the club, he be blazin' up
Got stacks on deck like he savin' up
And he ill, he real, he might gotta deal
He pop bottles and he got the right kind of build
He cold, he dope, he might sell coke
He always in the air, but he never fly coach
He a mothafuckin trip, trip, sailor of the ship, ship
When he make it drip, drip, kiss him on the lip, lip
That's the kinda dude I was lookin' for
And yes, you'll get slapped if you're lookin', ho

I said, excuse me, you're a hell of a guy
I mean, my, my, my, my, you're like pelican fly
I mean, you're so shy and I'm loving your tie
You're like slicker than the guy with the thing on his eye, oh
Yes, I did, yes, I did
Somebody please tell em who the F I is
I am Nicki Minaj, I mack them dudes up
Back coupes up and chuck the deuce up

Boy, you got my heartbeat runnin' away
Beatin' like a drum and it's comin' your way
Can't you hear that
Boom, badoom, boom, boom, badoom, boom, bass?
He got that super bass
Boom, badoom, boom, boom, badoom, boom, bass
Yeah, that's that super bass
Boom, boom, boom, badoom (Bass, bass)
Boom, boom, boom (Bass, yeah)
Boom, boom, boom, badoom (Bass, bass)
Boom, boom, boom (Bass)
Boom, badoom, boom, boom, badoom, boom, bass
He got that super bass
Boom, badoom, boom, boom, badoom, boom, bass
Yeah, that's that super bass (Yo, yo)

This one is for the boys in the polos
Entrepreneur niggas and the moguls
He could ball with the crew, he could solo
But I think I like him better when he dolo
And I think I like him better with the fitted cap on
He ain't even gotta try to put the mack on
He just gotta give me that look, when he give me that look
Then the panties comin' off, off, uh

Excuse me, you're a hell of a guy
You know, I really got a thing for American guys
I mean, sigh, sickenin' eyes
I can tell that you're in touch with your feminine side, uh
Yes, I did, yes, I did
Somebody please tell 'em who the F I is
I am Nicki Minaj, I mack them dudes up
Back coupes up and chuck the deuce up

Boy, you got my heartbeat runnin' away
Beatin' like a drum and it's comin' your way
Can't you hear that
Boom, badoom, boom, boom, badoom, boom, bass?
He got that super bass
Boom, badoom, boom, boom, badoom, boom, bass
Yeah, that's that super bass
Boom, boom, boom, badoom (Bass, bass)
Boom, boom, boom (Bass, yeah)
Boom, boom, boom, badoom (Bass, bass)
Boom, boom, boom (Bass)
Boom, badoom, boom, boom, badoom, boom, bass
He got that super bass
Boom, badoom, boom, boom, badoom, boom, bass
Yeah, that's that super bass (Yo, yo)

See, I need you in my life for me to stay
Know, know, know, know, know, I know you'll stay
No, no, no, no, no, don't go away, hey
Boy, you got my heartbeat runnin' away
Don't you hear that heartbeat comin' your way?
Oh, it be like
Boom, badoom, boom, boom, badoom, boom, bass
Can't you hear that
Boom, badoom, boom, boom, badoom, boom, bass?

Boy, you got my heartbeat runnin' away
Beatin' like a drum and it's comin' your way
Can't you hear that
Boom, badoom, boom, boom, badoom, boom, bass?
He got that super bass
Boom, badoom, boom, boom, badoom, boom, bass
Yeah, that's that super bass
Boom, boom, boom, badoom (Bass, bass)
Boom, boom, boom (Bass, yeah)
Boom, boom, boom, badoom (Bass, bass)
Boom, boom, boom (Bass)
Boom, badoom, boom, boom, badoom, boom, bass
He got that super bass
Boom, badoom, boom, boom, badoom, boom, bass
Yeah, that's that super bass (Yo, yo)","Hip-Hop, rap, rnb, pop, hip hop"
8,9,"""Moves like Jagger""",Maroon 5 featuring Christina Aguilera,"97 ContributorsTranslationsDeutschفارسیPolskiEspañolMoves Like Jagger Lyrics“Moves Like Jagger” was first performed on an episode of The Voice, a singing competition which Adam Levine and Christina both judge. It peaked at number one on the Billboard Hot 100, becoming Adam Levine &… Read More 
Oh, na
Oh

Just shoot for the stars if it feels right
Then aim for my heart if you feel like it
Take me away, and make it okay
I swear I'll behave
You wanted control, so we waited
I put on a show, now we're naked
You say I'm a kid, my ego is big
I don't give a shit

And it goes like this (Uh)
Take me by the tongue and I'll know you (Uh)
Kiss me 'til you're drunk and I'll show you
All the moves like Jagger
I've got them moves like Jagger
I've got them moves like Jagger (Uh)
I don't need to try to control you (Uh)
Look into my eyes and I'll own you
With them moves like Jagger
I've got them moves like Jagger
I've got them moves like Jagger

Maybe it's hard when you feel like
You're broken and scarred, nothing feels right
But when you're with me, I'll make you believe
That I've got the key
Oh, so get in the car, we can ride it
Wherever you want, get inside it
And you wanna steer, but I'm shifting gears
I'll take it from here (Oh, yeah, yeah)
And it goes like this (Uh)
Take me by the tongue and I'll know you (Uh)
Kiss me 'til you're drunk and I'll show you
All the moves like Jagger
I've got them moves like Jagger
I've got them moves like Jagger (Woo, uh)
I don't need to try to control you (Oh yeah, uh)
Look into my eyes and I'll own you
With them moves like Jagger
I've got them moves like Jagger (Yeah, yeah, yeah)
I've got them moves like Jagger

Uh, you wanna know how to make me smile?
Take control, own me just for the night (Ah)
And if I share my secret, you're gonna have to keep it (Shh)
Nobody else can see this (Ah, uh)
So watch and learn, I won't show you twice
Head to toe, ooh, baby, rub me right, yeah
And if I share my secret, you're gonna have to keep it
Nobody else can see this, hey, hey, hey, yeah

And it goes like this (Uh)
Take me by the tongue and I'll know you (Take me by the tongue, uh)
Kiss me 'til you're drunk and I'll show you (Yeah, yeah)
All the moves like Jagger
I've got them moves like Jagger
I've got them moves like Jagger (Oh yeah; woo, uh)
I don't need to try to control you (Yeah, ooh; uh)
Look into my eyes and I'll own you (Oh-oh)
With them moves like Jagger
I've got them moves like Jagger
I've got them moves like Jagger","dance, pop, rock, sexy, maroon 5"
9,10,"""Just Can't Get Enough""",The Black Eyed Peas,,"Hip-Hop, pop, rnb, rap, hip hop"
