Unnamed: 0,No.,Title,Artist(s),lyrics,genres
0,1,"""God's Plan""",Drake,"673 ContributorsTranslationsРусский (Russian)TürkçeEspañolPolskiItalianoDeutschFrançaisazərbaycanGod’s Plan Lyrics“God’s Plan” is a feel-good track that discusses Drake’s future. Being who he is in the industry, he knows that people want him to fail; however, God won’t let him do that.
Another key subject of the song is… Read More 
And they wishin' and wishin'
And wishin' and wishin', they wishin' on me
Yeah

I been movin' calm, don't start no trouble with me
Tryna keep it peaceful is a struggle for me
Don't pull up at 6 a.m. to cuddle with me
You know how I like it when you lovin' on me
I don't wanna die for them to miss me
Yes, I see the things that they wishin' on me
Hope I got some brothers that outlive me
They gon' tell the story, shit was different with me

God's plan, God's plan
I hold back, sometimes, I won't, yeah
I feel good, sometimes, I don't (Ayy, don't)
I finessed down Weston Road (Ayy, 'nessed)
Might go down a G-O-D (Yeah, wait)
I go hard on Southside G (Yeah, wait)
I make sure that north-side eat
And still

Bad things
It's a lot of bad things that they wishin' and wishin'
And wishin' and wishin', they wishin' on me
Bad things
It's a lot of bad things that they wishin' and wishin'
And wishin' and wishin', they wishin' on me
Yeah, ayy, ayy

She say, ""Do you love me?"" I tell her, ""Only partly
I only love my bed and my mama, I'm sorry""
Fifty Dub, I even got it tatted on me
Eighty-one, they'll bring the crashers to the party
And you know me
Turn the O2 into the O3, dog
Without 40, Oli, there'd be no me
'Magine if I never met the broskies

God's plan, God's plan
I can't do this on my own, ayy (No, ayy)
Someone watchin' this shit close (Yep, close)
I've been me since Scarlett Road, ayy (Road, ayy)
Might go down as G-O-D (Yeah, wait, yeah)
I go hard on Southside G (Ayy, wait, ayy)
I make sure that north-side eat, yeah
And still

Bad things
It's a lot of bad things that they wishin' and wishin'
And wishin' and wishin', they wishin' on me
Yeah, yeah
Bad things
It's a lot of bad things that they wishin' and wishin'
And wishin' and wishin', they wishin' on me
Yeah","Hip-Hop, rap, rnb, hip hop, Canadian"
1,2,"""Perfect""",Ed Sheeran,"346 ContributorsTranslationsTürkçeEspañolPortuguêsItalianoΕλληνικάDeutschFrançaisفارسیالعربيةČeskyPerfect Lyrics“Perfect” is an old-fashioned love ballad inspired by and dedicated to Ed’s then-fiancée (now wife) Cherry Seaborn. It is the fourth single from Sheeran’s 2017 album ÷.
He explained his motivation for… Read More 
I found a love for me
Oh, darlin', just dive right in and follow my lead
Well, I found a girl, beautiful and sweet
Oh, I never knew you were the someone waitin' for me

'Cause we were just kids when we fell in love
Not knowin' what it was
I will not give you up this time
But, darlin', just kiss me slow
Your heart is all I own
And in your eyes, you're holdin' mine

Baby, I'm dancin' in the dark with you between my arms
Barefoot on the grass while listenin' to our favourite song
When you said you looked a mess, I whispered underneath my breath
But you heard it, ""Darlin', you look perfect tonight""

Well, I found a woman stronger than anyone I know
She shares my dreams, I hope that, someday, I'll share her home
I found a love to carry more than just my secrets
To carry love, to carry children of our own

We are still kids, but we're so in love
Fightin' against all odds
I know we'll be alright this time
Darlin', just hold my hand
Be my girl, I'll be your man
I see my future in your eyes

Baby, I'm dancin' in the dark with you between my arms
Barefoot on the grass while listenin' to our favourite song
When I saw you in that dress, lookin' so beautiful
I don't deserve this, darlin', you look perfect tonight

No, no, no
Mm, no, no

Baby, I'm dancin' in the dark with you between my arms
We're barefoot on the grass, oh, listenin' to our favourite song
I have faith in what I see, now I know I have met
An angel in person and she looks perfect
I don't deserve this, you look perfect tonight","acoustic, british, singer-songwriter, pop, easy-listening"
2,3,"""Meant to Be""",Bebe Rexha featuring Florida Georgia Line,"95 ContributorsTranslationsPortuguêsΕλληνικάItalianoMeant to Be Lyrics“Meant to Be” is the closing track on Bebe Rexha’s third EP, All Your Fault: Pt. 2 and the lead single from her debut studio album, Expectations. Initially released as the EP’s second single, it is a… Read More 
Baby, lay on back and relax
Kick your pretty feet up on my dash
No need to go nowhere fast
Let's enjoy right here where we at
Who knows where this road is supposed to lead?
We got nothing but time
As long as you're right here next to me
Everything's gonna be all right

If it's meant to be, it'll be, it'll be
Baby, just let it be
If it's meant to be, it'll be, it'll be
Baby, just let it be
So won't you ride with me, ride with me?
See where this thing goes
If it's meant to be, it'll be, it'll be
Baby, if it's meant to be

I don't mean to be so uptight
But my heart's been hurt a couple times
By a couple guys that didn't treat me right
I ain't gon' lie, ain't gon' lie
'Cause I'm tired of the fake love
Show me what you're made of
Boy, make me believe
Whoa, hold up, girl, don't you know you're beautiful?
And it's easy to see

If it's meant to be, it'll be, it'll be
Baby, just let it be
If it's meant to be, it'll be, it'll be
Baby, just let it be
So won't you ride with me, ride with me?
See where this thing goes
If it's meant to be, it'll be, it'll be
Baby, if it's meant to be

So c'mon, ride with me, ride with me
See where this thing goes
So c'mon, ride with me, ride with me
Baby, if it's meant to be

Maybe we do
Maybe we don't
Maybe we will
Maybe we won't

But if it's meant to be, it'll be, it'll be
Baby, just let it be (Sing it, Bebe)
If it's meant to be, it'll be, it'll be (C'mon)
Baby, just let it be (Let's go)
So won't you ride with me, ride with me?
See where this thing goes (Come for a ride, baby)
If it's meant to be, it'll be, it'll be
Baby, if it's meant to be (Yeah)

If it's meant to be, it'll be, it'll be
Baby, if it's meant to be
If it's meant to be, it'll be, it'll be
Baby, if it's meant to be
Hmm",
3,4,"""Havana""",Camila Cabello featuring Young Thug,"7 ContributorsTranslationsEnglishPortuguêsFrançaisItalianoEspañolCamila Cabello - Havana ft. Young Thug (Deutsche Übersetzung) Lyrics

Hey

Havanna, uh na-na (Ey)
Eine Hälfte meines Herzens ist in Havanna, uh na-na (Ey, ey)
Er brachte mich zurück nach Ost-Atlanta, na-na-na
Oh, aber mein Herz ist in Havanna (Ey)
Sein Verhalten hat etwas an sich (Uh huh)
Havanna, uh na-na (Uh)

Er ging nicht mit dem „Wie geht's dir?“ auf mich zu
(Als er den Raum betrat) (Uh)
Er sagte, es gäbe viele Frauen, mit denen ich es machen könnte (Uh)
(Aber ich könnte nicht ohne dich)
Ich kannte ihn gänzlich nach einer Minute
(Auf dieser Sommernacht im Juni)
Und Papa sagt, er habe Böses in sich (Uh)
Und er gab mir das Gefühl …

Uh-uh-uh, ich wusste es, als ich ihn traf
Ich liebte ihn, als ich ihn verließ
Er gab mir das Gefühl …
Uh-uh-uh, und dann musste ich es ihm erzählen
Ich musste los, oh na-na-na-na-na

Havanna, uh na-na (Ey)
Eine Hälfte meines Herzens ist in Havanna, uh na-na (Ey, ey)
Er brachte mich zurück nach Ost-Atlanta, na-na-na
Oh, aber mein Herz ist in Havanna (Ey)
Havanna, uh na-na (Uh)

Jeffry
Eben das Examen frisch auf dem Kampus gemacht, mh
Frisch aus Ost-Atlanta, ohne Manieren, verdammt (Frisch aus Ost-Atlanta)
Bums-bums-bums-bums sie, wie ein Verkehrsstau
Hey, ich bezahlte das Mädchen schnell, wie Uncle Sam (Bitte sehr, ey)
>back it on me<
Die Süße sehnt sich nach mir
Sie bedient mich (Was danach?)
Die Süße twerked mich an, bekommt das Geld von mir (Warte doch)
Das ist Geschichte, die geschrieben wird – auf mir (Auf mir)
Kernschussweite, Nahbereich, dieser B
Wenn es eine Million kostet, bin ich es (Ich bin es)
Ich bekomme gerade Geld, Baby

Havanna, uh na-na (Ey)
Eine Hälfte meines Herzens ist in Havanna, uh na-na (Ey, ey)
Er brachte mich zurück nach Ost-Atlanta, na-na-na
Oh, aber mein Herz ist in Havanna (Ey)
Havanna, uh na-na (Uh)

Uh na-na, oh-na-na-na (U-uh)
Bring mich zurück, zurück, zurück wie …
Uh na-na, oh na-na-na (Ja, Süßer)
Bring mich zurück, zurück, zurück (Wie …)
Uh na-na, oh na-na-na (Ja, ja)
Bring mich zurück, zurück, zurück wie …
Uh na-na, oh na-na-na (Ja, Süßer)
Bring mich zurück, zurück, zurück
Hey, hey …
Uh-uh-uh (Hey)
Uh-uh-uh (Hey)
Bring mich zurück zu meinem Havanna

Havanna, uh na-na (Ey)
Eine Hälfte meines Herzens ist in Havanna, uh na-na (Ey, ey)
Er brachte mich zurück nach Ost-Atlanta, na-na-na
Oh, aber mein Herz ist in Havanna (Ey)
Havanna, uh na-na (Uh)

Uh huh
Oh na-na-na (Oh na, ja)/i>
Oh na-na-na
Oh na-na-na (Nein, nein, nein, bring mich zurück)/i>
Oh na-na-na
Havana, uh na-na",
4,5,"""Rockstar""",Post Malone featuring 21 Savage,"1 Contributorrockstar  @PostMalone @21Savage Lyrics""Remix""",
5,6,"""Psycho""",Post Malone featuring Ty Dolla Sign,"260 ContributorsTranslationsNederlands繁體中文 (Traditional Chinese)TürkçeEnglishPortuguêsPsycho Lyrics“Psycho” is the third single from Post Malone’s long-awaited sophomore album, beerbongs & bentleys. Recruiting Ty Dolla $ign, the two sing about the luxuries they have earned such as convertibles, Audemars… Read More 
Damn, my AP goin' psycho, lil' mama bad like Michael
Can't really trust nobody with all this jewelry on you
My roof look like a no-show, got diamonds by the boatload
Come with the Tony Romo for clowns and all the bozos
My AP goin' psycho, lil' mama bad like Michael
Can't really trust nobody with all this jewelry on you
My roof look like a no-show, got diamonds by the boatload
Don't act like you my friend when I'm rollin' through my ends, though

You stuck in the friend zone, I tell that four-five the fifth, ayy
Hunnid bands inside my shorts, DeChino the shit, ayy
Try to stuff it all in, but it don't even fit, ayy
Know that I been with the shits ever since a jit, ayy
I made my first million, I'm like, ""Shit, this is it,"" ayy
30 for a walkthrough, man, we had that bitch lit, ayy
Had so many bottles, gave ugly girl a sip
Out the window of the Benzo, we get seen in the rent'
And I'm like ""Woah, man, my neck so goddamn cold”
Diamonds wet, my t-shirt soaked
I got homies, let it go, oh
My money thick, won't ever fold
She said, ""Can I have some to hold?""
And I can't ever tell you no

Damn, my AP goin' psycho, lil' mama bad like Michael
Can't really trust nobody with all this jewelry on you
My roof look like a no-show, got diamonds by the boatload
Come with the Tony Romo for clowns and all the bozos
My AP goin' psycho, lil' mama bad like Michael
Can't really trust nobody with all this jewelry on you
My roof look like a no-show, got diamonds by the boatload
Don't act like you my friend when I'm rollin' through my ends, though

The AP goin' psycho, my Rollie goin' brazy
I'm hittin' lil' mama, she wanna have my babies
It's fifty on the pinky, chain so stanky
You should see the whip, promise I can take yo' bitch
Dolla ridin' in an old school Chevy, it's a drop top
Boolin' with a thot-thot, she gon' give me top-top
Just one switch, I can make the ass drop (Hey)
Ayy, take you to the smoke shop
We gon' get high, ayy, we gon' hit Rodeo
Dial up Valentino, we gon' hit Pico
Take you where I'm from, take you to the slums
This ain't happen overnight, no, these diamonds real bright
Saint Laurent jeans, still in my Vans, though
All VVS', put you in a necklace
Girl, you look beautiful tonight
Stars on the roof, they're matching with the jewelry

Damn, my AP goin' psycho, lil' mama bad like Michael
Can't really trust nobody with all this jewelry on you
My roof look like a no-show, got diamonds by the boatload
Come with the Tony Romo for clowns and all the bozos
My AP goin' psycho, lil' mama bad like Michael
Can't really trust nobody with all this jewelry on you
My roof look like a no-show, got diamonds by the boatload
Don't act like you my friend when I'm rollin' through my ends, though",
6,7,"""I Like It""","Cardi B, Bad Bunny and J Balvin","13 ContributorsTranslationsEspañolNederlandsFrançaisDeutschCardi B, Bad Bunny & J Balvin - I Like It (English Translation) Lyrics
Yeah baby, I like it like that
You gotta believe me when I tell you
I said I like it like that
You gotta believe me when I tell you
I said I like it like—

Now I like dollars, I like diamonds, I like stunting, I like shining
I like million dollar deals, where's my pen? Bitch I'm signin'
I like those Balenciagas, the ones that look like socks
I like going to the jeweler, I put rocks all in my watch
I like texts from my exes when they want a second chance
I like proving niggas wrong, I do what they say I can't
They call me Cardi Bardi, banging body
Spicy mami, hot tamale
Hotter than a Somali, fur coat, Ferrari
Hop out the stu', jump in the coupe (the coupe)
Big Dipper on top of the roof
Flexing on bitches as hard as I can
Eating halal, driving the Lam'
Told that bitch I'm sorry though
'Bout my coins like Mario (Mario)
Yeah they call me Cardi B, I run this shit like cardio
Oh, damn

Diamond district in the chain (I said I like it like that)
Certified, know I'm gang, gang, gang, gang (I said I like it like—)
Drop the top and blow the brains (I said I like it like that)
Oh he's so handsome, what's his name? (I said I like it)
Oh I need the dollars (I said I like it like that)
Beat it up like piñatas (I said I like it like—)
Tell the driver, close the curtains (I said I like it like that)
Bad bitch make him nervous (I said I like it)
Cardi B

They reload, they reload, but don't pull the trigger (pull the trigger!)
You buy all the Jordan's, fool, they gift them to me
I spend in the club (woo), what you have in the bank (yeh)
This is the new religion, bang, in Latino gang, gang, yeh
I try to diet (yeh), but in the closet I got too much fat (woo!)
I already moved the Gucci to inside my house, yeh (woo!)
Motherfucker, nobody knows you, not even in Plaza (no)
The Devil calls me but Jesus Christ hugs me (amen)
Guerrero like Eddie, long live the race (yeh)
I like Boricuas, I like Cubans 
I like the accent of the Colombians (what's going on?)
I like how she shakes the ass the Dominican (what's up?)
How good they fuck me the Venezuelans (woo!)
We are active, Perico Pin Pin (woo)
Hundred dollar bills in the briefcase (ching)
Let the bass resound, Bobby Valentin, yeh
Love is forbidden here, tell them, Charytín
For their itching I got Claritin
I arrive at the club and the riot begins

Diamond district in the chain (I said I like it like that)
Bad Bunny, baby, be, be, be, be
Certified, know I'm gang, gang, gang, gang (I said I like it like—)
Drop the top and blow the brains (I said I like it like that)
Oh, he's so handsome, what's his name? (I said I like it)
Oh, I need the dollars (I said I like it like that)
Beat it up like piñatas (I said I like it like—)
Tell the driver, close the curtains (I said I like it like that)
Bad bitch make him nervous (I said I like it)

Like Celia Cruz I got the sugar (sugar)
Your girl saw me and fell forward like Jimmy Snuka (ah)
We gonna knock off your wig
And go to hell, motherfucker, we aren't gonna pass you the hookah (hookah, hookah)
My Balenciaga shoes, they receive me in the entrance (woo)
Pa-pa-pa-pa-razzi, like I'm Lady Gaga (woo)
And don't play dumb (hey), in covers of Billboard you have seen me (hey)
I don't leave your head (woo)
Everywhere you go you have heard ""Mi Gente""
I'm not high, I'm like the Testarossa ('rossa)
I'm the one who lives it and enjoys it (enjoys it, enjoys it)
That's the thing, baby that's the thing (thing, thing)
The one who looks suffers and the one who touches enjoys (enjoys, enjoys)

I said I like it like that
I said I like it like that (rrr)
I said I like it like that (woo)
I said I like it like that

Diamond district in the chain (I said I like it like that)
Certified, know I'm gang, gang (I said I like it like—)
Drop the top and blow the brains, wouh (I said I like it like that)
Oh he's so handsome, what's his name? (I said I like it)",
7,8,"""The Middle""","Zedd, Maren Morris and Grey","10 ContributorsGoogle Translate Sings: “The Middle” by Zedd, Maren Morris and Grey Lyrics
The seats are fairly awake
Wait or send
Clothes are naked and I do not know
Unfortunately, we are very wealthy
We know that Christ died for all who have good intentions

I am with thy pong man
And I am in your grandson
Why not be negligent?
Am I shy?

Hey, why are you here
I do not know
Why can not I Phillip?
Bye, ahhh

It takes one minute for cooking
However, moisture required for muscle proteins
How did we have a salad? They are very aggressive
I know we missed every good customer

Then, closer to draw a cake
Why do you not hide me?
Why are you crazy?
Am I shy?

Hey! Why are you here?
I'm a little stupid
And why should we find the body not in the middle of F?
At the BBC (Oh)

I do not stoop
Check insurance
I do not mind, no
And not my shoes
I want a mouse
Go inside me

Oh Benny, why do you need to take care of me?
I miss my head easily
Why can not I, Phillip?
Golf, no

Hey, why are you here? (Pooh, yes)
I do not know
Why can not I Phillip?
Bye, ahhh
Hey, why are you here? (You shouldn't be here, just leave!)
I'm a little stupid
And why should we find the body in the middle of F?
Bye, ahhh",edm
8,9,"""In My Feelings""",Drake,"384 ContributorsTranslationsไทย (Thai)PortuguêsEspañolDeutschIn My Feelings Lyrics“In My Feelings” is an upbeat, club-mixed love letter to “Kiki,” “KB,” and the members of City Girls. The track rides on Drake’s heartfelt singing and honest lyrics, wondering if they still love him.
The… Read More 
Trap, TrapMoneyBenny
This shit got me in my feelings
Gotta be real with it, yeah

Kiki, do you love me? Are you riding?
Say you'll never ever leave from beside me
'Cause I want ya, and I need ya
And I'm down for you always
KB, do you love me? Are you riding?
Say you'll never ever leave from beside me
'Cause I want ya, and I need ya
And I'm down for you always

Look, the new me is really still the real me
I swear you gotta feel me before they try and kill me
They gotta make some choices, they runnin' out of options
'Cause I've been goin' off and they don't know when it's stoppin'
And when you get to toppin', I see that you've been learnin'
And when I take you shoppin', you spend it like you earned it
And when you popped off on your ex, he deserved it
I thought you were the one from the jump, that confirmed it
TrapMoneyBenny, ayy
I buy you Champagne but you love some Henny
From the block like you Jenny
I know you special, girl, 'cause I know too many

'Resha, do you love me? Are you riding?
Say you'll never ever leave from beside me
'Cause I want ya, and I need ya
And I'm down for you always
JT, do you love me? Are you riding?
Say you'll never ever leave from beside me
'Cause I want ya, and I need ya
And I'm down for you always

Two bad bitches and we kissin' in the Wraith
Kissin'-kissin' in the Wraith, kiss-kissin' in the Wraith
I need that black card and the code to the safe
Code to the safe, code-code to the safe-safe
I show him how that neck work
Fuck that Netflix and chill, what's your net-net-net worth?
'Cause I want ya, and I need ya
And I'm down for you always
Yeah, yeah, yeah, yeah, he bad
And I'm down for you always
Yeah, yeah, yeah, guess who's back
And I'm down for you always
D-down for you al–
Black biggy biggy black biggy black blake
D-d-down for you always
I got a new boy, and that nigga trade

Kiki, do you love me? Are you riding?
Say you'll never ever leave from beside me
'Cause I want you, and I need you
And I'm down for you always
KB, do you love me? Are you riding?
Say you'll never ever leave from beside me
'Cause I want ya, and I–

Skate and Smoke and Rap
Now let me see you
Bring that ass, bring that ass, bring that ass back
B-bring that ass, bring that ass, bring that ass back
Shawty say the nigga that she with can't hit
But shawty, I'ma hit it, hit it like I can't miss
Now let me see you
Clap that ass, you're the only one I love
Clap that ass, clap-clap that ass
Bring that ass back
Clap-clap-clap that ass, you're the only one I love
Let's go, let's go, let's go
Bring that ass back

Trap, TrapMoneyBenny
This shit got me in my feelings
Gotta be real with it, ayy, yup
(BlaqNmilD, you a genius, you diggin' me?)

You know what, I don't even care, I need a photo with Drake
Because my Instagram is weak as fuck
I'm just being real, my shit, look—","Hip-Hop, rap, rnb, hip hop, Canadian"
9,10,"""Girls Like You""",Maroon 5 featuring Cardi B,"3 ContributorsGirls Like You - Maroon 5 ft. Cardi B  LyricsSpent 24 hours
I need more hours with you
You spent the weekend
Getting even, ooh ooh
We spent the late nights
Making things right, between us
But now it's all good baby
Roll that Backwood baby
And play me close
'Cause girls like you
Run around with guys like me
'Til sundown, when I come through
I need a girl like you, yeah yeah
Girls like you
Love fun, yeah me too
What I want when I come through
I need a girl like you, yeah yeah
Yeah yeah yeah
Yeah yeah yeah
I need a girl like you, yeah yeah
Yeah yeah yeah
Yeah yeah yeah
I need a girl like you, yeah yeah
I spent last night
On the last flight to you
Took a whole day up
Trying to get way up, ooh ooh
We spent the daylight
Trying to make things right between us
And now it's all good baby
Roll that Backwood baby
And play me close
'Cause girls like you
Run around with guys like me
'Til sundown, when I come through
I need a girl like you, yeah yeah
Girls like you
Love fun, yeah me too
What I want when I come through
I need a girl like you, yeah yeah
Yeah yeah yeah
Yeah yeah yeah
I need a girl like you, yeah yeah
Yeah yeah yeah
Yeah yeah yeah
I need a girl like you, yeah yeah
I need a girl like you, yeah yeah
I need a girl like you
Maybe it's 6:45
Maybe I'm barely alive
Maybe you've taken my shit for the last time, yeah
Maybe I know that I'm drunk
Maybe I know you're the one
Maybe I'm thinking it's better if you drive
'Cause girls like you
Run around with guys like me
'Til sundown, when I come through
I need a girl like you, yeah yeah
'Cause girls like you
Run around with guys like me
'Til sundown, when I come through
I need a girl like you, yeah yeah
Girls like you
Love fun, yeah me too
What I want when I come through
I need a girl like you, yeah yeah
Yeah yeah yeah
Yeah yeah yeah
I need a girl like you, yeah yeah
Yeah yeah yeah
Yeah yeah yeah
I need a girl like you",pop
