Unnamed: 0,No.,Title,Artist(s),lyrics,genres
0,1,"""Thrift Shop""",Macklemore & Ryan Lewis featuring Wanz,"339 ContributorsTranslationsFrançaisThrift Shop LyricsBacked by a super-funky beat, Macklemore shows how much $20 can do by ditching expensive labels for thrift shop clothing.
Released as a single and on the LP The Heist on August 27th, 2012.
The song has… Read More 
Hey, Macklemore, can we go thrift shopping?
What-what, what, what?
What-what, what, what?
What-what, what, what?
What-what, what, what? (Da)
What-what, what, what? (Da-dum, ba-dum, ba-da-do-da)
What-what, what, what? (Da-dum, ba-dum, ba-da-do-da)
What-what, what, what? (Da-dum, ba-dum, ba-da-do-da)
What-what, what, what? (Da-dum, ba-dum, ba-da-do-da)
Da-dum, ba-dum, ba-da-do-da
Da-dum, ba-dum, ba-da-do-da
Da-dum, ba-dum, ba-da-do-da
Da-dum, ba-dum, ba-da-do-da
I'm gonna pop some tags
Only got twenty dollars in my pocket
I'm, I'm, I'm huntin', lookin' for a come up
This is fucking awesome (Now)

Walk into the club like, ""What up? I got a big cock""
Nah, I'm just pumped, I bought some shit from a thrift shop
Ice on the fringe is so damn frosty
The people like, ""Damn, that's a cold-ass honkey""
Rollin' in hella deep, headed to the mezzanine
Dressed in all pink 'cept my gator shoes, those are green
Draped in a leopard mink, girl standin' next to me
Probably should've washed this, smells like R. Kelly sheets
Piss
But shit, it was ninety-nine cents (Bag it)
Coppin' it, washin' it, 'bout to go and get some compliments
Passin' up on those moccasins someone else has been walkin' in
Bummy and grungy, fuck it, man, I am stunting and flossin'
And saving my money and I'm hella happy, that's a bargain, bitch
I'ma take your grandpa's style, I'ma take your grandpa's style
No, for real, ask your grandpa, can I have his hand-me-downs? (Thank you)
Velour jumpsuit and some house slippers
Dookie-brown leather jacket that I found diggin'
They had a broken keyboard, I bought a broken keyboard
I bought a skeet blanket, then I bought a knee board
Hello, hello, my ace man, my mellow
John Wayne ain't got nothing on my fringe game, hell no
I could take some Pro Wings, make 'em cool, sell those
The sneaker heads would be like, ""Ah, he got the Velcros""

I'm gonna pop some tags
Only got twenty dollars in my pocket
I'm, I'm, I'm huntin', lookin' for a come up
This is fucking awesome
I'm gonna pop some tags
Only got twenty dollars in my pocket
I'm, I'm, I'm huntin', lookin' for a come up
This is fucking awesome

What you know about rockin' a wolf on your noggin?
What you knowin' about wearin' a fur fox skin?
I'm diggin', I'm diggin', I'm searchin' right through that luggage
One man's trash, that's another man's come up
Thank your granddad for donatin' that plaid button-
Up shirt 'cause right now, I'm up in here stuntin'
I'm at the Goodwill, you can find me in the bins
I'm not, I'm not stuck on searchin' in that section (Men's)
Your grammy, your auntie, your mama, your mammy
I'll take those flannel zebra jammies second hand and rock that, motherfucker
The built-in onesie with the socks on the motherfucker
I hit the party and they stop in that motherfucker
They be like, ""Oh, that Gucci? That's hella tight""
I'm like, ""Yo, that's fifty dollars for a T-shirt""
Limited edition, let's do some simple addition
Fifty dollars for a T-shirt, that's just some ignorant bitch shit
I call that getting-swindled-and-pimped shit
I call that getting tricked by business
That shirt's hella dope
And having the same one as six other people in this club is a hella don't
Peep game, come take a look through my telescope
Tryna get girls from a brand? Man, you hella won't
Man, you hella won't
Goodwill
Poppin' tags, yeah

I'm gonna pop some tags
Only got twenty dollars in my pocket
I'm, I'm, I'm huntin', lookin' for a come up
This is fucking awesome

I'll wear your granddad's clothes
I look incredible
I'm in this big-ass coat
From that thrift shop down the road
I'll wear your granddad's clothes (Damn right)
I look incredible (Now come on, man)
I'm in this big-ass coat (Big-ass coat)
From that thrift shop down the road (Let's go, come on)

I'm gonna pop some tags
Only got twenty dollars in my pocket
I'm, I'm, I'm huntin', lookin' for a come up
This is fucking awesome

Hahaha
Is that your grandma's coat?","Hip-Hop, rap, underground hip-hop, underground rap, seattle"
1,2,"""Blurred Lines""",Robin Thicke featuring T.I. and Pharrell Williams,"261 ContributorsTranslationsPortuguêsBlurred Lines LyricsWith its lyrics talking of “blurred lines” between consenting and non-consent, this #1 hit was widely attacked for promoting rape culture. It was mostly written by Pharrell Williams, who denied that it was… Read More 
Everybody, get up
Everybody, get up
Hey, hey, hey
Hey, hey, hey (Uh)
Hey, hey, hey (Ha-ha, woo)
Tune me up

If you can't hear what I'm tryna say (Hey, girl, come here)
If you can't read from the same page (Hey)
Maybe I'm goin' deaf (Hey, hey, hey)
Maybe I'm goin' blind (Hey, hey, hey)
Maybe I'm out of my mind (Hey, hey, hey)
Everybody, get up

Okay, now he was close
Tried to domesticate you
But you're an animal
Baby, it's in your nature (Meow)
Just let me liberate you (Hey, hey, hey)
You don't need no takers (Hey, hey, hey)
That man is not your maker (Hey, hey, hey)
And that's why I'm gon' take a (Everybody, get up)

Good girl
I know you want it (Hey)
I know you want it
I know you want it
You're a good girl
Can't let it get past me
You're far from plastic (Alright)
Talkin' 'bout gettin' blasted
I hate these blurred lines
I know you want it (Hey)
I know you want it (Oh yeah)
I know you want it
But you're a good girl
The way you grab me
Must wanna get nasty
Go ahead, get at me
Everybody, get up (Come on)

What do they make dreams for (Why?)
When you got them jeans on? (Why?)
What do we need steam for?
You the hottest bitch in this place
I feel so lucky (Hey, hey, hey)
You wanna hug me (Hey, hey, hey)
What rhymes with hug me? (Hey, hey, hey)
Hey (Everybody, get up)

Okay, now he was close
Tried to domesticate you
But you're an animal
Baby, it's in your nature (Uh-huh)
Just let me liberate you (Hey, hey, hey) (Uh-huh)
You don't need no takers (Hey, hey, hey) (Uh-huh)
That man is not your maker (Hey, hey, hey) (Uh-huh)
And that's why I'm gon' take a (Everybody, get up)

Good girl
I know you want it
I know you want it (Hey)
I know you want it
You're a good girl
Can't let it get past me (Hey)
You're far from plastic (Oh)
Talkin' 'bout gettin' blasted (Everybody, get up)
I hate these blurred lines (Hate them lines)
I know you want it (I hate them lines)
I know you want it (I hate them lines)
I know you want it
But you're a good girl (Good girl)
The way you grab me
Must wanna get nasty
Go ahead, get at me (Everybody, get up)

Hustle Gang, homie
Let go
Ay, say Rob, let me holla at 'em real quick
One thing I ask of you
Let me be the one you back that ass up to (Come on)
Go from Malibu to Paris, boo (Yeah)
Had a bitch, but she ain't bad as you
So, hit me up when you pass through
I'll give you somethin' big enough to tear your ass in two
Swag on 'em even when you dress casual
I mean, it's almost unbearable (Everybody, get up)
In a hundred years not dare would I
Pull a Pharcyde, let you pass me by
Nothin' like your last guy, he too square for you
He don't smack that ass and pull your hair like that
So I'm just watchin' and waitin'
For you to salute the true big pimpin' (Okay)
Not many women can refuse this pimpin'
I'm a nice guy, but don't get it confused, get pimpin' (Everybody, get up)

Shake your rump
Get down, get up-a
Do it like it hurt, like it hurt
What, you don't like work?
Hey (Everybody, get up)

Baby, can you breathe?
I got this from Jamaica
It always works for me
Dakota to Decatur (Uh-huh)
No more pretendin' (Hey, hey, hey) (Uh-huh)
'Cause now you're winnin' (Hey, hey, hey) (Uh-huh)
Here's our beginnin' (Hey, hey, hey) (Uh-huh)
I always wanted a

You're a good girl (Everybody, get up)
I know you want it (Hey)
I know you want it
I know you want it
You're a good girl
Can't let it get past me (Oh yeah)
You're far from plastic (Alright)
Talkin' 'bout gettin' blasted
I hate these blurred lines (Everybody, get up)
I know you want it (Hey)
I know you want it (Oh yeah)
I know you want it
But you're a good girl
The way you grab me
Must wanna get nasty (Hey)
Go ahead, get at me

Everybody, get up
Everybody, get up
Hey, hey, hey
Hey, hey, hey
Hey, hey, hey",
2,3,"""Radioactive""",Imagine Dragons,"192 ContributorsTranslationsPortuguêsDeutschEspañolУкраїнськаTürkçeРусский (Russian)Radioactive LyricsThe first song on Imagine Dragons' debut album Night Visions gives off a revolutionary vibe, but leaves what is being changed up to interpretation. Some argue it is about nuclear war, others say it is about… Read More 
Whoa, oh, oh
Whoa, oh, oh
Whoa, oh, oh
Whoa

I'm waking up to ash and dust
I wipe my brow and I sweat my rust
I'm breathing in the chemicals
Uhh, ahh

I'm breaking in, shaping up
Then checking out on the prison bus
This is it, the apocalypse
Whoa

I'm waking up, I feel it in my bones
Enough to make my system blow
Welcome to the new age, to the new age
Welcome to the new age, to the new age
Whoa-oh-oh, oh, oh, whoa-oh-oh, oh, oh
I'm radioactive, radioactive
Whoa-oh-oh, oh, oh, whoa-oh-oh, oh, oh
I'm radioactive, radioactive

I raise my flags, dye my clothes
It's a revolution, I suppose
We're painted red to fit right in
Whoa

I'm breaking in, shaping up
Then checking out on the prison bus
This is it, the apocalypse
Whoa

I'm waking up, I feel it in my bones
Enough to make my system blow
Welcome to the new age, to the new age
Welcome to the new age, to the new age
Whoa-oh-oh, oh, oh, whoa-oh-oh, oh, oh
I'm radioactive, radioactive
Whoa-oh-oh, oh, oh, whoa-oh-oh, oh, oh
I'm radioactive, radioactive

All systems go, the sun hasn't died
Deep in my bones, straight from inside

I'm waking up, I feel it in my bones
Enough to make my system blow
Welcome to the new age, to the new age
Welcome to the new age, to the new age
Whoa-oh-oh, oh, oh, whoa-oh-oh, oh, oh
I'm radioactive, radioactive
Whoa-oh-oh, oh, oh, whoa-oh-oh, oh, oh
I'm radioactive, radioactive","indie, indie rock, alternative, rock, indie pop"
3,4,"""Harlem Shake""",Baauer,"43 ContributorsHarlem Shake Lyrics“Harlem Shake” exploded into the mainstream as an Internet meme a year after its release in 2012. Accompanied by a video, the dance craze soon blew up in early 2013.

Videos soon popped up with a common… Read More 
Con los terroristas, -tas, -tas, -tas
-tas -tas -tas -tas, -tas -tas -tas -tas -tas

Then do the Harlem Shake (Shake!)
Ey (Shake!), con los terroristas
Ey (Shake!), ey (Shake!)
Ey (Shake!), ey (Shake!)
Ey (Shake!), ey (Shake!)

(Shake!) -tas, (Shake!) -tas, -tas, (Shake!) -tas, -tas, -tas, -tas
-tas, -tas, (Shake!) -tas, -tas, (Shake!) -tas, -tas, -tas, -tas
-tas, -tas, -tas, -tas, -tas -tas -tas -tas -tas -tas -tas -tas -tas

Then do the Harlem Shake (Shake!)
Ey (Shake!), con los terroristas
Ey, (Shake!) ey (Shake!)

Shake, shake
Shake, ey (Shake!)
Ey (Shake!), ey (Shake!)
Ey (Shake!)","trap, electronic, bass, trapwave, trapstyle"
4,5,"""Can't Hold Us""",Macklemore & Ryan Lewis featuring Ray Dalton,"1 ContributorTranslationsEnglishDeutschMacklemore & Ryan Lewis - Can’t Hold Us ft. Ray Dalton (Türkçe Çeviri) Lyrics

Hey, hey, hey
Seni görmek güzel
Hadi, adamım, başlayalım
Evet, başlayalım
Hahaha, pekâlâ
Pekâlâ, tamam
Uh, pekâlâ, tamam
Pekâlâ, tamam

Mack'in dönüşü
Yakala onları, bu ne? Ne yapıyor? Bu ne? Ne değil?
Yataktan kalkmanın daha iyi bir yöntemini arıyorum
İnternete girip
Kim bana yazmış bakmak yerine, kalk
İkinci el dükkanı, götü kalkık pezevenk yürüyüşü
Biraz alçakgönüllü, biraz temkinli
Rocky ve Cosby arasında bir yerde
Kazak oyunu, yok, yok, kopyalayamazsınız, evet
Bad, ay yürüyüşü, işte bu bizim partimiz
Ekibim Broadway'de bulundu, ve kendi yöntemimizle yaptık
Yetişkin müizği, kaydettiğim her şeye
Derimi döküyorum ve kemiklerimi koyuyorum ve hala ayaktayım
Bırak sahne ışığı yansın ve aşağı aydınlatsın
Takım giyişimde Bob Barker ve tarzımda Plinko var
Para, işime odaklı kalıyorum ve vuranlar için etrafta takılıyorum
Ama meşaleyi aktarıp kasabam için yakıyorum
B-A-Ğ-I-M-S-I-Z meselemde bana güven, çalışıyorum
On dördümden beri hayallerimi kovalıyorum
Dört parçalık ile, çok iyi
Sırt (Sırt) çantamla (Çantam) şehri yarıladım, zengin (Zengin) herifler (Herifler), eziyorum
Plak şirketleri kapıda, artık kimse bana bir şey diyemez (Hey, hey, hey)
Bu hakkı insanlara veriyoruz, ülke boyunca yayın (Hey, hey, hey, oh)
Plak şirketleri kapıda, artık kimse bana bir şey diyemez (Hey, hey, hey)
Bu hakkı insanlara veriyoruz, ülke boyunca yayın (Hey, hey, hey, oh)

Geriye dönebilir miyiz? Bu an o
Yarın gece o gece, bitene kadar savaşacağız
Ellerimizi yukarı kaldırıyoruz
Tavan bizin tutamazmış gibi
Tavan bizin tutamazmış gibi
Geriye dönebilir miyiz? Bu an o
Yarın gece o gece, bitene kadar savaşacağız
Ellerimizi yukarı kaldırıyoruz
Tavan bizin tutamazmış gibi
Tavan bizin tutamazmış gibi

Şimdi, başlatabilir miyim? Teşekkürler
Evet, çok minnettarım
Dişime altın kaplatmak isteyerek büyüdüm
Ama seni Wu-Tang yetiştirirse böyle olursun
Beni durduramazsınız
Kalp atışımda 808 varmış gibi harika bir iş çıkarıyorum
Ve ritmi Shark Week'de büyük beyaz köpekbalığına
Biraz hız vermişsin gibi yiyorum, saf
Patlama zamanı, kaçtım
Çift el, elveda, görmem gereken bir dünya var
Ve sevgilim, Roma'yı görmek istiyor
Sezar seni bir inançlı yapacak
Yok, asla bir taht için yapmadım
O onay insanlara geri vermekten geliyor
Şimdi, bir şarkı söyle ve şöyle gidiyor
Şu elleri kaldırın, bu bizim partimiz (Hey, hey, hey)
Buraya hayatı kimse izlemiyormuş gibi yaşamaya geldik (Hey, hey, hey, oh)
Şehri arkama aldım, eğer düşersem, beni yakalayacaklar (Hey, hey, hey)
Bu başarısızlıktan ders çıkar, alçakgönüllülük kazan (Hey, hey, hey)
Ve ardından ilerlemeye devam edeceğiz, dedim ki

Geriye dönebilir miyiz? Bu an o
Yarın gece o gece, bitene kadar savaşacağız
Ellerimizi yukarı kaldırıyoruz
Tavan bizin tutamazmış gibi
Tavan bizin tutamazmış gibi
Geriye dönebilir miyiz? Bu an o
Yarın gece o gece, bitene kadar savaşacağız
Ellerimizi yukarı kaldırıyoruz
Tavan bizin tutamazmış gibi
Tavan bizin tutamazmış gibi

(Ve ellerimizi yukarı kaldırıyoruz)
(Ve ellerimizi yukarı kaldırıyoruz)
(Voo-oh, oh, oh)
(Voo-oh, oh, oh)
(Voo-oh, oh, oh)

Haydi
Na, na, na-na, na, na-na, na (Uh-huh)
Hey (Ve tüm halkım söylüyor)
Na, na, na-na, na, na-na, na (Hey, hey, aynen böyle)
Hey (Başlıyoruz, pekâlâ, uh)
Ve tüm halkım söylüyor
Na, na, na-na, na, na-na, na (Yapıyorsun bu işi, Ray)
Oh (Ha-ha, haydi)
Ve tüm halkım söylüyor
Na, na, na-na, na, na-na, na
Mackle-uh, uh, uh, uh, more

Geriye dönebilir miyiz? Bu an o
Yarın gece o gece, bitene kadar savaşacağız
Ellerimizi yukarı kaldırıyoruz
Tavan bizin tutamazmış gibi
Tavan bizin tutamazmış gibi
Geriye dönebilir miyiz? Bu an o (Ooh)
Yarın gece o gece, bitene kadar savaşacağız (Ooh)
Ellerimizi yukarı kaldırıyoruz (Ooh)
Tavan bizin tutamazmış gibi (Ooh)
Tavan bizin tutamazmış gibi (Ooh)","Hip-Hop, rap, underground hip-hop, underground rap, seattle"
5,6,"""Mirrors""",Justin Timberlake,"216 ContributorsTranslationsEspañolDeutschPortuguêsTürkçeالعربيةMirrors LyricsA love song to JT’s new wife that is less narcissistic than it may seem at first glance, this song is a tribute to twin flames – same soul split in two, in two different bodies.
Justin dedicated the music… Read More 
Aren't you somethin' to admire?
'Cause your shine is somethin' like a mirror
And I can't help but notice
You reflect in this heart of mine
If you ever feel alone and
The glare makes me hard to find
Just know that I'm always
Parallel on the other side

'Cause with your hand in my hand and a pocket full of soul
I can tell you there's no place we couldn't go
Just put your hand on the glass
I'll be tryna pull you through
You just gotta be strong

'Cause I don't wanna lose you now
I'm lookin' right at the other half of me
The vacancy that sat in my heart
Is a space that now you hold
Show me how to fight for now
And I'll tell you, baby, it was easy
Comin' back here to you once I figured it out
You were right here all along
It's like you're my mirror (Oh)
My mirror's staring back at me  (Oh)
I couldn't get any bigger (Oh)
With anyone else beside me (Oh)
And now it's clear as this promise
That we're making
Two reflections into one
'Cause it's like you're my mirror (Oh)
My mirror's staring back at me, staring back at me

Aren't you somethin', an original?
'Cause it doesn't seem merely assembled
And I can't help but stare, 'cause
I see truth somewhere in your eyes
Ooh, I can't ever change without you
You reflect me, I love that about you
And if I could, I
Would look at us all the time

'Cause with your hand in my hand and a pocket full of soul
I can tell you there's no place we couldn't go
Just put your hand on the glass
I'm here tryna pull you through
You just gotta be strong

'Cause I don't wanna lose you now
I'm lookin' right at the other half of me
The vacancy that sat in my heart
Is a space that now you hold
Show me how to fight for now
And I'll tell you, baby, it was easy
Comin' back here to you once I figured it out
You were right here all along

It's like you're my mirror (Oh)
My mirror's staring back at me (Oh)
I couldn't get any bigger (Oh)
With anyone else beside me (Oh)
And now it's clear as this promise
That we're making
Two reflections into one
'Cause it's like you're my mirror (Oh)
My mirror's staring back at me, staring back at me

Yesterday is history, oh
Tomorrow's a mystery, oh
I can see you lookin' back at me
Keep your eyes on me
Baby, keep your eyes on me

'Cause I don't wanna lose you now
I'm lookin' right at the other half of me
The vacancy that sat in my heart
Is a space that now you hold
Show me how to fight for now (You show me, baby)
And I'll tell you, baby, it was easy
Comin' back here to you once I figured it out
You were right here all along

It's like you're my mirror (Oh)
My mirror's staring back at me (Oh)
I couldn't get any bigger (Oh)
With anyone else beside me (Oh)
And now it's clear as this promise
That we're making
Two reflections into one
'Cause it's like you're my mirror (Oh)
My mirror's staring back at me, staring back at me

Ohh (Oh oh, oh oh)
Ohh (Oh oh, oh oh)
Ohh ohh (Oh oh, oh oh)
Uhh (Oh oh, oh oh)
Ohh (Oh oh, oh oh)
Ohh (Oh oh, oh oh)
Ohh (Oh oh, oh oh)
Ohh ohh (Oh oh, oh oh)
Uhh (Oh oh, oh oh)
Ohh (Oh oh, oh oh)

You are, you are the love of my life
You are, you are the love of my life
You are, you are the love of my life
You are, you are the love of my life
You are, you are the love of my life
You are, you are the love of my life
You are, you are the love of my life
You are, you are the love of my life
You are, you are the love of my life
Ohh (Oh oh, oh oh)
Ohh (Oh oh, oh oh)
Ohh ohh (Oh oh, oh oh)
Uhh (Oh oh, oh oh)
Ohh (Oh oh, oh oh)

Now, you're the inspiration of this precious song
And I just wanna see your face light up since you put me on
So now I say goodbye to the old me, it's already gone
And I can't wait, wait, wait, wait, wait to get you home
Just to let you know, you are
Ohh (Oh oh, oh oh)
Ohh (Oh oh, oh oh)
Ohh ohh (Oh oh, oh oh)
Uhh (Oh oh, oh oh)
Ohh (Oh oh, oh oh)

You are, you are the love of my life
You are, you are the love of my life
You are, you are the love of my life
You are, you are the love of my life
You are, you are the love of my life
You are, you are the love of my life
You are, you are the love of my life
You are, you are the love of my life

Girl, you're my reflection, all I see is you
My reflection in everything I do
You're my reflection and all I see is you
My reflection in everything I do

You are, you are the love of my life
You are, you are the love of my life
You are, you are the love of my life
You are, you are the love of my life
You are, you are the love of my life
You are, you are the love of my life
You are, you are the love of my life
You are, you are the love of my life
You are, you are the love of my life
You are, you are the love of my life
You are, you are the love of my life
You are, you are the love of my life
You are, you are the love of my life
You are, you are the love of my life
You are, you are the love of my life
You are, you are the love of my life","pop, rnb, dance, male vocalists, Hip-Hop"
6,7,"""Just Give Me a Reason""",Pink featuring Nate Ruess,"105 ContributorsTranslationsΕλληνικά한국어 (Korean)ČeskyDeutschJust Give Me a Reason Lyrics“Just Give Me a Reason” is a pop-rock piano-infused power ballad, released as the third single from P!nk’s album, The Truth About Love.
The song views two different perspectives of a relationship. One part… Read More 
Right from the start
You were a thief, you stole my heart
And I, your willing victim
I let you see the parts of me
That weren't all that pretty
And with every touch, you fixed them

Now you've been talkin' in your sleep, oh, oh
Things you never say to me, oh, oh
Tell me that you've had enough of our love, our love

Just give me a reason
Just a little bit's enough
Just a second, we're not broken, just bent
And we can learn to love again
It's in the stars
It's been written in the scars on our hearts
We're not broken, just bent
And we can learn to love again

I'm sorry I don't understand
Where all of this is coming from
I thought that we were fine
(Oh, we had everything)
Your head is running wild again
My dear, we still have everythin'
And it's all in your mind
(Yeah, but this is happenin')

You've been havin' real bad dreams, oh, oh
You used to lie so close to me, oh, oh
There's nothin' more than empty sheets between our love, our love
Oh, our love, our love, love

Just give me a reason
Just a little bit's enough
Just a second, we're not broken, just bent
And we can learn to love again
I never stopped
You're still written in the scars on my heart
You're not broken, just bent
And we can learn to love again

Oh, tears ducts and rust
I'll fix it for us
We're collectin' dust
But our love's enough
You're holdin' it in
You're pourin' a drink
No, nothin' is as bad as it seems
We'll come clean

Just give me a reason
Just a little bit's enough
Just a second, we're not broken, just bent
And we can learn to love again
It's in the stars
It's been written in the scars on our hearts
That we're not broken, just bent
And we can learn to love again
Just give me a reason
Just a little bit's enough
Just a second we're not broken, just bent
And we can learn to love again
It's in the stars
It's still written in the scars on our hearts
That we're not broken, just bent
And we can learn to love again

Oh, we can learn to love again
Oh, can learn to love again
Oh, that we're not broken, just bent
And we can learn to love again",
7,8,"""When I Was Your Man""",Bruno Mars,"112 ContributorsTranslationsDeutschالعربيةItalianoEspañolWhen I Was Your Man Lyrics“When I Was Your Man” is a song by American singer-songwriter Bruno Mars, from his second studio album Unorthodox Jukebox (2012). The song was written by Mars, Philip Lawrence, Ari Levine and Andrew Wyatt… Read More 
Same bed, but it feels just a little bit bigger now
Our song on the radio, but it don't sound the same
When our friends talk about you, all it does is just tear me down
'Cause my heart breaks a little when I hear your name

It all just sounds like (Ooh, ooh)
Mm, too young, too dumb to realize

That I should've bought you flowers
And held your hand
Shoulda gave you all my hours
When I had the chance
Take you to every party
'Cause all you wanted to do was dance
Now my baby's dancin'
But she's dancin' with another man

Uh, my pride, my ego, my needs, and my selfish ways
Caused a good, strong woman like you to walk out my life
Now I'll never, never get to clean up the mess I made, oh
And that haunts me every time I close my eyes

It all just sounds like (Ooh, ooh)
Mm, too young, too dumb to realize

That I should've bought you flowers
And held your hand
Shoulda gave you all my hours
When I had the chance
Take you to every party
'Cause all you wanted to do was dance
Now my baby's dancin'
But she's dancin' with another man

Although it hurts
I'll be the first to say that
I was wrong
Oh, I know I'm probably much too late
To try and apologize for my mistakes
But I just want you to know

I hope he buys you flowers
I hope he holds your hand
Give you all his hours
When he has the chance
Take you to every party
'Cause I remember how much you love to dance
Do all the things I should've done
When I was your man
Do all the things I should've done
When I was your man","pop, rnb, male vocalists, r&b, slow jams"
8,9,"""Cruise""",Florida Georgia Line featuring Nelly,"29 ContributorsCruise (Remix) Lyrics
Baby, you a song, you make me wanna roll my windows down and cruise
(Let's go)

I got my windows down and the radio up (Yeah)
Get your radio up, what up, Nelly? (Alright)
I got my windows down and the radio up
Get your radio up

Yeah, when I first saw that bikini top on her
She’s poppin' right out of the South Georgia water
Thought, ""Oh, good lord,"" she had them long tanned legs
Couldn't help myself, so I walked up and said (I said)

Well, baby, you a song, you make me wanna roll my windows down and cruise
Down a back road, blowin' stop signs through the middle every little farm town with you
And this brand new Chevy with a lift kit (Hey), would look a hell of a lot better with you up in it (Come on)
So baby, you a song, you make me wanna roll my windows down and cruise

I got my windows down and the radio up
Get your radio up

Yeah, she was sippin' on Southern and singin' Marshall Tucker
We were fallin' in love in the sweet heart of summer
She hopped right up into the cab of my truck and said
""Fire it up, let’s go get this thing stuck"" (I said)

Baby, you a song, you make me wanna roll my windows down and cruise (Hey)
Down a back road, blowin' stop signs through the middle every little farm town with you
And this brand new Chevy with a lift kit (Hey), would look a hell of a lot better with you up in it (Come on)
So baby, you a song, you make me wanna roll my windows down and cruise
(Yeah, yeah, yeah, yeah, let's go)

My windows down, my seats back, my music up, and we ride
Her legs up on my dashboard, and it's just the way I like
Hey, country girl, this country boy like e'rything about ya
Don't change a thing, no way, you stay the same and I got ya
I likes all that, all that, head to toe, you all that
Tell ole boy he call back, send her a text, say, ""Fall back,"" 'cause
I can see you got a thing for the fast life (For the fast life)
So, come on, shawty, let me show you what the fast like (Uh-huh)
Whippin' 'cross the border, Florida into Georgia

'Cause baby, you a song and you make me wanna roll my windows down and cruise
Down a back road, blowin' stop signs through the middle every hood, e'ry town with you
And this drop-top Chevy painted real slick would look a hell of a lot better with you up in it (You up in it)
'Cause baby, you a song and you make me wanna roll my-roll my-roll my-r-r-r-r— Oh

Well, baby, you a song, you make me wanna roll my windows down and cruise (Hey-ayy)
Down a back road, blowin' stop signs through the middle every little farm town with you
In this brand new Chevy with a lift kit (Hey), would look a hell of a lot better with you up in it (Come on)
'Cause, baby, you a song and you make me wanna roll my windows down and cruise

I got my windows down and the radio up (Come on, girl)
Get your radio up (Yeah, get those windows down and cruise)
I got my windows down and the radio up
Get your radio up (Got my windows down and cru—)
I got my windows down and the radio up
Get your radio up",
9,10,"""Roar""",Katy Perry,"118 ContributorsTranslationsPortuguêsΕλληνικάFrançaisItalianoفارسیTürkçeEspañolRoar Lyrics“Roar” is the lead single off Katy Perry’s fourth studio album Prism. The song deviates from the electro-pop sound on Teenage Dream in exchange for a mid-tempo pop-rock anthem similar to Sara Bareilles‘… Read More 
I used to bite my tongue and hold my breath
Scared to rock the boat and make a mess
So I sat quietly, agreed politely
I guess that I forgot I had a choice
I let you push me past the breaking point
I stood for nothing, so I fell for everything
You held me down, but I got up (Hey)
Already brushing off the dust
You hear my voice, you hear that sound
Like thunder, gonna shake the ground
You held me down, but I got up (Hey)
Get ready 'cause I've had enough
I see it all, I see it now
I got the eye of the tiger, a fighter
Dancing through the fire
'Cause I am a champion, and you're gonna hear me roar
Louder, louder than a lion
'Cause I am a champion, and you're gonna hear me roar

Oh-oh-oh-oh-oh-oh-oh
Oh-oh-oh-oh-oh-oh-oh
Oh-oh-oh-oh-oh-oh-oh
You're gonna hear me roar

Now I'm floating like a butterfly
Stinging like a bee, I earned my stripes
I went from zero, to my own hero

You held me down, but I got up (Hey)
Already brushing off the dust
You hear my voice, you hear that sound
Like thunder, gonna shake the ground
You held me down, but I got up (Got up)
Get ready 'cause I've had enough
I see it all, I see it now

I got the eye of the tiger, a fighter
Dancing through the fire
'Cause I am a champion, and you're gonna hear me roar
Louder, louder than a lion
'Cause I am a champion, and you're gonna hear me roar

Oh-oh-oh-oh-oh-oh-oh
Oh-oh-oh-oh-oh-oh-oh
Oh-oh-oh-oh-oh-oh-oh
You're gonna hear me roar
Oh-oh-oh-oh-oh-oh-oh
Oh-oh-oh-oh-oh-oh-oh (You'll hear me roar)
Oh-oh-oh-oh-oh-oh-oh
You're gonna hear me roar

Roar-oar, roar-oar, roar

I got the eye of the tiger, a fighter
Dancing through the fire
'Cause I am a champion, and you're gonna hear me roar
Oh, louder, louder than a lion
'Cause I am a champion, and you're gonna hear me roar

Oh-oh-oh-oh-oh-oh-oh
Oh-oh-oh-oh-oh-oh-oh
Oh-oh-oh-oh-oh-oh-oh (Yeah)
You're gonna hear me roar
Oh-oh-oh-oh-oh-oh-oh
Oh-oh-oh-oh-oh-oh-oh (You'll hear me roar)
Oh-oh-oh-oh-oh-oh-oh
You're gonna hear me roar","pop, female vocalists, pop rock, indie, rock"
