Unnamed: 0,No.,Title,Artist(s),lyrics,genres
0,1,"""Last Night""",Morgan Wallen,"36 ContributorsTranslationsPortuguêsDeutschCatalàFrançaisEspañolLast Night Lyrics
Last night, we let the liquor talk
I can't remember everything we said, but we said it all
You told me that you wish I was somebody you never met
But, baby, baby, something's tellin' me this ain't over yet

No way it was our last night I kissed your lips
Make you grip the sheets with your fingertips
Last bottle of Jack, we split a fifth
Just talkin' 'bout life, goin' sip for sip
Yeah, you, you know you love to fight
And I say shit I don't mean
But I'm still gon' wake up wantin' you and me

I know that last night, we let the liquor talk
I can't remember everything we said, but we said it all
You told me that you wish I was somebody you never met
But, baby, baby, something's tellin' me this ain't over yet
No way it was our last night (Last night)
No way it was our last night (Last night)

No way it was the last night that we break up
I see your tail lights in the dust
You call your mama, I call your bluff
In the middle of the night, pull it right back up
Yeah, my, my friends say, ""Let her go""
Your friends say, ""What the hell?""
I wouldn't trade your kind of love for nothin' else

Oh, baby, last night, we let the liquor talk
I can't remember everything we said, but we said it all
You told me that you wish I was somebody you never met
But, baby, baby, something's tellin' me this ain't over yet
No way it was our last night, we said we'd had enough
I can't remember everything we said, but we said too much
I know you packed your shit and slammed the door right before you left
But, baby, baby, something's tellin' me this ain't over yet
No way it was our last night (Last night)
No way it was our last night (Last night)

I know you said this time you really weren't comin' back again
But, baby, baby, something's tellin' me this ain't over yet
No way it was our last night (Last night)
No way it was our last night (Last night)","country, country pop, contemporary country, the voice, bro-country"
1,2,"""Flowers""",Miley Cyrus,"106 ContributorsTranslationsEspañolPortuguêsKiswahiliDeutschItalianosrpskiNederlandsSvenskaPolskiTürkçeΕλληνικάFrançaisDansk日本語 (Japanese)Русский (Russian)العربيةУкраїнськаBahasa IndonesiaفارسیČeskyFlowers Lyrics“Flowers” is the lead single from Miley Cyrus' eighth studio album Endless Summer Vacation. The song speaks about her past relationship with ex-husband Liam Hemsworth, releasing the track on his birthday… Read More 
We were good, we were gold
Kinda dream that can't be sold
We were right 'til we weren't
Built a home and watched it burn

Mm, I didn't wanna leave you, I didn't wanna lie
Started to cry, but then remembered I

I can buy myself flowers
Write my name in the sand
Talk to myself for hours
Say things you don't understand
I can take myself dancing
And I can hold my own hand
Yeah, I can love me better than you can

Can love me better, I can love me better, baby
Can love me better, I can love me better, baby

Paint my nails cherry-red
Match the roses that you left
No remorse, no regret
I forgive every word you said

Ooh, I didn't wanna leave you, baby, I didn't wanna fight
Started to cry, but then remembered I

I can buy myself flowers
Write my name in the sand
Talk to myself for hours, yeah
Say things you don't understand
I can take myself dancing, yeah
I can hold my own hand
Yeah, I can love me better than you can

Can love me better, I can love me better, baby
Can love me better, I can love me better, baby
Can love me better, I can love me better, baby
Can love me better, I (Ooh, I)

I didn't wanna leave you, I didn't wanna fight
Started to cry, but then remembered I

I can buy myself flowers (Uh-huh)
Write my name in the sand
Talk to myself for hours (Yeah)
Say things you don't understand (You never will)
I can take myself dancing, yeah
I can hold my own hand
Yeah, I can love me better than
Yeah, I can love me better than you can

Can love me better, I can love me better, baby (Uh)
Can love me better, I can love me better, baby (Than you can)
Can love me better, I can love me better, baby
Can love me better, I","pop, female vocalists, dance, Disney, guilty pleasure"
2,3,"""Kill Bill""",SZA,"168 ContributorsTranslationsEspañolPortuguêsItalianoTürkçeDeutschNederlands日本語 (Japanese)සිංහලΕλληνικάРусский (Russian)Bahasa IndonesiaFrançaisالعربيةKill Bill Lyrics“Kill Bill” is the third single off of SZA’s sophomore full-length studio album, SOS. The harmonious murder ballad surrounds the topics of heartbreak and betrayal, resulting in SZA seeking revenge on her ex.
… Read More 
I'm still a fan even though I was salty
Hate to see you with some other broad, know you happy
Hate to see you happy if I'm not the one drivin'

I'm so mature, I'm so mature
I'm so mature, I got me a therapist to tell me there's other men
I don't want none, I just want you
If I can't have you, no one should

I might
I might kill my ex, not the best idea
His new girlfriend's next, how'd I get here?
I might kill my ex, I still love him though
Rather be in jail than alone

I get the sense that it's a lost cause
I get the sense that you might really love her
This text gon' be evidence, this text is evidence
I tried to ration with you, no murders or crime of passion, but damn
You was out of reach
You was at the farmer's market with your perfect peach
Now I'm in the basement plannin' home invasion
Now you layin' face-down, got me singin' over a beat

I'm so mature, I'm so mature
I'm so mature, I got me a therapist to tell me there's other men
I don't want none, I just want you
If I can't have you, no one will

I might (I)
I might kill my ex, not the best idea
His new girlfriend's next, how'd I get here?
I might kill my ex, I still love him though
Rather be in jail than alone

I did it all for love (Love)
I did it all on no drugs (Drugs)
I did all of this sober
I did it all for us, oh
I did it all for love (Love)
I did all of this on no drugs (Drugs)
I did all of this sober
Don't you know I did it all for us? (I'm gon' kill your ass tonight)

Oh, I just killed my ex (My ex, oops), not the best idea (Idea)
Killed his girlfriend next, how'd I get here? (He left me no choice)
I just killed my ex (My ex), I still love him though (I do)
Rather be in Hell than alone","rnb, soul, alternative rnb, electronic, Neo-Soul"
3,4,"""Anti-Hero""",Taylor Swift,"214 ContributorsTranslationsPortuguêsEspañolTürkçeFrançais简体中文 (Simplified Chinese)NederlandsDeutschไทย (Thai)ItalianoSvenskaУкраїнськаsrpskiBahasa IndonesiaРусский (Russian)ČeskySlovenščinaPortuguês한국어 (Korean)PolskiAnti-Hero LyricsDescribed by Taylor herself as “one of my favorite songs that I have ever written”, “Anti-Hero” is the scintillating lead single from Midnights, her tenth studio album. Largely serving as a parallel to 2019’s… Read More 
I have this thing where I get older, but just never wiser
Midnights become my afternoons
When my depression works the graveyard shift, all of the people
I've ghosted stand there in the room

I should not be left to my own devices
They come with prices and vices
I end up in crisis
(Tale as old as time)
I wake up screaming from dreaming
One day, I'll watch as you're leaving
'Cause you got tired of my scheming
(For the last time)

It's me, hi
I'm the problem, it's me
At teatime, everybody agrees
I'll stare directly at the sun, but never in the mirror
It must be exhausting always rooting for the anti-hero

Sometimes, I feel like everybody is a sexy baby
And I'm a monster on the hill
Too big to hang out, slowly lurching toward your favorite city
Pierced through the heart, but never killed

Did you hear my covert narcissism I disguise as altruism
Like some kind of congressman?
(A tale as old as time)
I wake up screaming from dreaming
One day, I'll watch as you're leaving
And life will lose all its meaning
(For the last time)

It's me, hi
I'm the problem, it's me (I'm the problem, it's me)
At teatime, everybody agrees
I'll stare directly at the sun, but never in the mirror
It must be exhausting always rooting for the anti-hero

I have this dream my daughter-in-law kills me for the money
She thinks I left them in the will
The family gathers 'round and reads it and then someone screams out
""She's laughing up at us from Hell""

It's me, hi
I'm the problem, it's me
It's me, hi
I'm the problem, it's me
It's me, hi
Everybody agrees, everybody agrees

It's me, hi (Hi)
I'm the problem, it's me (I'm the problem, it's me)
At teatime (Teatime), everybody agrees (Everybody agrees)
I'll stare directly at the sun, but never in the mirror
It must be exhausting always rooting for the anti-hero","country, pop, female vocalists, singer-songwriter, acoustic"
4,5,"""Creepin'""","Metro Boomin, the Weeknd and 21 Savage","6 ContributorsTranslationsEnglishPortuguêsEspañolفارسیDeutschMetro Boomin, The Weeknd & 21 Savage - Creepin’ (Türkçe Çeviri) Lyrics

Ooh, ooh-ooh
Ooh-ooh-ooh, ooh, ooh-ooh (Cidden inanamıyorum, adamım)
(Metro Boomin want some more, nigga)

Seni görmüşler
Öptüğün kişi ben değilmişim
Ben de bunu asla sana sormayıp
İçimde tuttum

Bilmek istemiyorum
Eğer benimle oynuyorsan bile, bunu bana söyleme
Çünkü kalbim artık bu yükü taşıyamıyor
Ve eğer beni aldatıyorsan, lütfen,  bunu benden sakla
Ah bebeğim, bilmek istemiyorum
Oh-oh, oh-oh, ooh-woah
Oh-oh, oh-oh, oh-oh

Oh, pekâlâ
Sana sarılırken bunu düşünüyorum
Gözlerine baktığımda bu duruma inanamıyorum
Gerçeği bilmeme gerek yok
Bebeğim, onu kendine sakla

Bilmek istemiyorum
Eğer benimle oynuyorsan bile, bunu bana söyleme
Çünkü kalbim artık bu yükü taşıyamıyor
Ve eğer beni aldatıyorsan, lütfen,  bunu benden sakla
Ah bebeğim, bilmek istemiyorum

Sana benden daha iyi mi dokunuyor? (Sana benden daha iyi mi dokunuyor?)
O da uyurken seni izledi mi? (O da uyurken seni izledi mi?)
Bana yaptığın tüm o muameleyi ona da gösterdin mi?
Eğer bu şekilde daha iyiysen (Bu şekilde daha iyisin)
Söyleyebileceğim başka bir şey yok (Söyleyebileceğim bir şey)
Sadece böyle devam et, istediğini yap ve bana geri dönme
Ooh, ooh-ooh
Ooh-ooh-ooh, ooh-ooh, ooh-ooh

Wow, wow, wow, 21
Beni sevdin, polis merkezindeymişim gibi kelepçelendim
Ev hanımlığından gizli gizli birileriyle görüşen birine nasıl dönüştün?
Seni her tür Benz ve Rovers ile gezdirdim
Kızım, eskiden eski püskü arabaya binerdin
Seni Eliantte'den giydiren benim (Yemin ederim)
Fashion Nova modeli yapıp, seni piste çıkardım (Yemin ederim)
Coach marka çanta takıyordun, sana Chane'-ne' aldım
Fresco'da metresim var, ona ""bebeğim"" diyorum (21)
Sevgilim var ama hâlâ yalnız hissediyorum (Yemin ederim)
Beni aldatıyorsan demektir ki bu ev benim evim değil (Yemin ederim)
Kâbuslarımda telefonunu kontrol ettiğimi görüyorum (21)
Kayıt bile alamıyorum, odağımı bozdun

Bilmek istemiyorum
Eğer benimle oynuyorsan bile, bunu bana söyleme
Çünkü kalbim artık bu yükü taşıyamıyor
Ve eğer beni aldatıyorsan, lütfen,  bunu benden sakla
Ah bebeğim, bilmek istemiyorum
Eğer benimle oynuyorsan bile, bunu bana söyleme
Çünkü kalbim artık bu yükü taşıyamıyor
Ve eğer beni aldatıyorsan, lütfen,  bunu benden sakla
Ah bebeğim, bilmek istemiyorum

Eğer beni aldatıyorsan bile ben öğrenmeyeyim (Ciddiyim)
Bir otel tut, onları asla eve getirme (Ciddiyim)
Eğer bu şekilde daha iyiysen
Bebeğim, söyleyebileceğim tek şey
Eğer istediğini yapacaksan bana geri dönme",
5,6,"""Calm Down""",Rema and Selena Gomez,"2 ContributorsTranslationsEnglishالعربيةRema & Selena Gomez - Calm Down (Remix) (Tradução em Português) LyricsEm “Calm Down”, Rema fala sobre sua atração por uma certa mulher mesmo com sua relutância para se aproximar dela, enquanto Selena Gomez provém a perspectiva feminina, enquanto ela discute a importância que… Read More 

Vibez
Oh, não
Outro sucesso

Meu bem, se acalme, se acalme
Garota, esse é o seu corpo e coloque o meu coração em confinamento, em confinamento, oh, confinamento
Garota, você é doce como Fanta, ooh, Fanta, ooh
Se eu te digo, ''eu te amo'', você não negue de forma alguma-oh, oh, alguma-oh
Não, não me diga, não, não, não, woah, woah, woah, woah
Oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh
Meu bem, venha me dar seu amor-mor-mor-mor-mor-mor-mor-mor-woah-woah-woah-woah-woah
Você me deixou tipo woah-woah-woah-woah-woah-woah-woah-woah-woah
Mina, venha me dar seu amor-mor-mor-mor-mor-mor-mor-mor-woah-woah-woah-woah-woah, hmm

Eu vejo essa garota bonita, da minha festa, еla veste amarelo
Todas outras garotas fazеm demais, mas essa garota é de boa
Não, eu vou resolver essa situação, eu vou lá falar ''oi''
Finalmente, eu achei uma maneira de falar com a garota mas ela não quer papo
De onde você vem? Woah (Mhmm)
Porque você não quer conversar? Woah (Mhmm)
Aí eu começo a senti-la bum-bum, woah (Mhmm)
Mas ela só me da um pouco, pouco, woah
Eu sei dizer para ela passar aquele, aquele (Mhmm)
Mas ela se sente insegura, woah
Porque seus amigos te mastigam tipo chiclete, woah (Mhmm)
Te mastigam tipo chiclete, oh-woah

É, eu sei que pareço tímida mas para você eu entro no clima, oh, woah
E meus quadris fazem você chorar quando estou me movendo ao seu redor (É)
Faço uma vez, faço de novo (Faço de novo)
Eu vou para trás, você me segura firme
Saboreie por uma noite

Meu bem me mostre que você consegue se acalmar, se acalmar
Dance comigo e tome as rédeas agora, rédeas agora (Rédeas agora)
Te deixei tão lá em cima que você não consegue descer, descer
Não pergunte, você sabe que tem permissão, permissão (Oh, não)
Quando é você, eu não consigo dizer não-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh
Meu bem, venha me dar seu amor-mor-mor-mor-mor-mor-mor-mor-woah-woah-woah-woah-woah
Você me deixou tipo woah-woah-woah-woah-woah-woah-woah-woah-woah
Mina, venha me dar seu amor-mor-mor-mor-mor-mor-mor-mor-woah-woah-woah-woah-woah, mm-hmm

Enquanto eu chego à minha casa, eu digo descanse um pouco, oh-woah (Descanse um pouco, oh-woah)
Enquanto eu acordo ela está na minha mente, oh-woah (Ela está na minha mente, oh-woah)
Dia um, dia dois-is, eu não consigo concentrar (Eu não consigo concentrar)
Então eu posso dizer, ''a gente pode se encontrar'', oh-woah (Eu digo podemos nos encontrar, oh-woah)
Estou com minha mão no seu coração agora, eu posso senti-lo bater
Se eu for embora você diz que não poderá amar de novo
Quero te dar tudo mas não posso prometer que ficarei
E esse é o risco que você toma (Você toma)

Meu bem, se acalme, se acalme
Garota, esse é o seu corpo e coloque o meu coração em confinamento, em confinamento, oh, confinamento
Garota, você é doce como Fanta, ooh, Fanta, ooh
Se eu te digo, ''eu te amo'', você não negue de forma alguma-oh, oh, alguma-oh
Não, não me diga, não, não, não, woah, woah, woah, woah
Oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh (Seu amor, seu amor)
Meu bem, venha me dar seu amor-mor-mor-mor-mor-mor-mor-mor-woah-woah-woah-woah-woah
Você me deixou tipo woah-woah-woah-woah-woah-woah-woah-woah-woah
Mina, venha me dar seu amor-mor-mor-mor-mor-mor-mor-mor-woah-woah-woah-woah-woah (Oh, woah), hmm

Seu amor",afrobeats; afrobeat; afropop; afropiano
6,7,"""Die for You""",The Weeknd and Ariana Grande,"3 ContributorsTranslationsEnglishItalianoDeutschPortuguêsBahasa IndonesiaالعربيةPolskiThe Weeknd & Ariana Grande - Die for You (Remix) (Traducción al Español) Lyrics

Estoy buscando la manera de articular lo que siento
No puedo decir que no te amo (Sí)
Porque te amo, sí
Es difícil para mí el comunicar mis pensamientos
Pero esta noche, te haré saber
Déjame ser honesto
Bebé, déjame ser honesto, sí

Sabes lo que pienso, lo veo en tus ojos
Odias el desearme, odio cuando lloras
Temes el quedarte sola, especialmente en las noches
Temo el extrañarte, siempre sucede eso
No quiero sentir esto, el amor no es para mí
Busco una razón para separarnos
Pero no puedo, porque eres perfecta
Y sé que vales la pena
No puedo alejarme, oh

Aunque tengamos problemas (Ah)
Y eso te haga sentir sola
Debes saber que moriría por ti (Ooh, ooh)
Bebé, moriría por ti, sí
La distancia y el tiempo entre nosotros (La distancia y el tiempo)
No pueden hacer que cambie de opinión, porque
Bebé, moriría por ti (Moriría por ti)
Bebé, moriría por ti, sí

Busco la manera de concentrarme en lo que debo hacer
Pero, bebé, es tan difícil cuando estás cerca
Y sí, te culpo a ti por eso
Y sabes que no puedo fingir, es ahora o nunca
Y tú insinúas que crees que sería mejor
Si estuviéramos juntos, tú y yo
Sí, sé que lo haces

Sabes lo que pienso, lo veo en tus ojos
Odias el desearme, odio cuando lloras
No puedo, porque eres perfecto (Mm)
Y sé que vales la pena
No puedo alejarme

Aunque tengamos problemas
Y eso te haga sentir solo
Debes saber que moriría por ti (Moriría por ti)
Bebé, moriría por ti, sí
La distancia y el tiempo entre nosotros
No pueden hacer que cambie de opinión, porque
Bebé, moriría por ti (Moriría por ti, uh)
Bebé, moriría por ti, sí (Moriría por ti)

Moriría por ti, mentiría por ti
Siendo honesto contigo, mataría por ti, mi bebé
Solo digo, sí
Moriría por ti, mentiría por ti
Siendo honesto contigo, mataría por ti, mi bebé
Na-na-na, na-na-na, na-na-na

Aunque tengamos problemas (Ooh)
Y eso te haga sentir sola (No, no)
Debes saber que moriría por ti (No)
Bebé, moriría por ti, sí
La distancia y el tiempo entre nosotros (Ooh)
No pueden hacer que cambie de opinión, porque
Bebé, moriría por ti (No)
Bebé, moriría por ti, sí (Oh, bebé)",
7,8,"""Fast Car""",Luke Combs,"20 ContributorsTranslationsPortuguêsFast Car Lyrics
You got a fast car
And I want a ticket to anywhere
Maybe we make a deal
Maybe together we can get somewhere
Any place is better
Startin' from zero, got nothin' to lose
Maybe we'll make something
Me, myself, I got nothin' to prove

You got a fast car
And I got a plan to get us out of here
Been workin' at the convenience store
Managed to save just a little bit of money
Won't have to drive too far
Just across the bordеr and into the city
And you and I can both get jobs
Finally see what it means to bе livin'

See, my old man's got a problem
He live in the bottle, that's the way it is
He said his body's too old for workin'
His body's too young to look like his
So Mama went off and left him
She wanted more from life than he could give
I said, ""Somebody's gotta take care of him""
So I quit school and that's what I did

You got a fast car
Is it fast enough so we can fly away?
Still gotta make a decision
Leave tonight or live and die this way

So I remember when we were driving, driving in your car
Speed so fast, I felt like I was drunk
City lights lay out before us
And your arm felt nice wrapped around my shoulder
And I, I had a feeling that I belonged
I, I had a feeling I could be someone, be someone, be someone

You got a fast car
We go cruisin', entertain ourselves
You still ain't got a job
So I work in the market as a checkout girl
I know things will get better
You'll find work and I'll get promoted
And we'll move out of the shelter
Buy a bigger house, live in the suburbs

So I remember when we were driving, driving in your car
Speed so fast, I felt like I was drunk
City lights lay out before us
And your arm felt nice wrapped around my shoulder
And I, I had a feeling that I belonged
I, I had a feeling I could be someone, be someone, be someone

You got a fast car
I got a job that pays all our bills
You stay out drinkin' late at the bar
See more of your friends than you do your kids
I'd always hoped for better
Thought maybe together you and me'd find it
I got no plans, I ain't goin' nowhere
Take your fast car and keep on driving

So I remember when we were driving, driving in your car
Speed so fast, I felt like I was drunk
City lights lay out before us
And your arm felt nice wrapped around my shoulder
And I, I had a feeling that I belonged
I, I had a feeling I could be someone, be someone, be someone


You got a fast car
Is it fast enough so we can fly away?
Still gotta make a decision
Leave tonight or live and die this way","country, country pop, contemporary country, country rock, americana"
8,9,"""Snooze""",SZA,"88 ContributorsTranslationsEspañolPortuguêsItalianoРусский (Russian)العربيةDeutschSnooze Lyrics“Snooze” features SZA trying to be with a person who she loves so much. In the bridge, SZA is longing to be loved by this person, and be their number one. The love song was released as the eighth track on… Read More 
Ooh
I think I know

I'll touch that fire for you
I do that three, four times again, I testify for you
I told that lie, I'd kill that bitch
I do what all of them around you scared to do, I'm not
Long as you juggin' out here for me, I got it
Mobbin', schemin', lootin', hide your bodies
Long as you dreamin' 'bout me, ain't no problem
I don't got nobody, just with you right now
Tell the truth, I look better under you

I can't lose when I'm with you
How can I snooze and miss the moment?
You just too important
Nobody do body like you do
I can't lose when I'm with you
I can't just snooze and miss the moment
You just too important
Nobody do body like you do, you do

In a droptop ride with you, I feel like Scarface (Scarface)
Like that white bitch with the bob, I'll be your main one (Your main one)
Lеt's take this argument back up to my place (My placе)
Sex remind you I'm nonviolent, I'm your day one (Day one)
We ain't have shit yet, it was magic, yeah
Smash and grab shit, yeah
Nasty habits take a hold when you not here
Ain't a home when you not here
Hard to grow when you not here, I'm sayin'

I can't lose when I'm with you
How can I snooze and miss the moment?
You just too important
Nobody do body like you do
I can't lose when I'm with you
How can I snooze and miss the moment?
You just too important
Nobody do body like you do, you do

Main one ridin'
How you frontin' on me and I'm the main one tryin'?
How you blame it on me and you the main one lyin'?
How you threatenin' to leave and I'm the main one cryin'?
Just tryna be your everything
Main one ridin'
How you frontin' on me and I'm the main one tryin'?
How you blame it on me and you the main one lyin'?
How you threatenin' to leave and I'm the main one cryin'?

I can't lose when I'm with you (Like you, like you)
How can I snooze and miss the moment? (Like you)
You just too important
Nobody do body like you do
I can't lose when I'm with you (Like you)
How can I snooze and miss the moment? (Like you)
You just too important
Nobody do body like you do, you do

Nah, nah, nah, nah
I think I know, woah
See, no, I can't lose, oh
I think I know, oh","rnb, soul, alternative rnb, electronic, Neo-Soul"
9,10,"""I'm Good (Blue)""",David Guetta and Bebe Rexha,"2 ContributorsTranslationsEnglishPortuguêsTürkçeDeutschDavid Guetta & Bebe Rexha - I’m Good (Blue) (Traducción al Español) Lyrics

Estoy bien, sí, me siento genial
Bebé, voy a tener la mejor puta noche de mi vida
Y no importa a dónde me lleve, estoy dispuesta a lo que sea
Bebé, ¿no ves que estoy bien? Sí, me siento genial
Porque estoy bien, sí, me siento genial
Bebé, voy a tener la mejor puta noche de mi vida
Y no importa a dónde me lleve, estoy dispuesta a lo que sea
Bebé, ¿no ves que estoy bien? Sí, me siento genial

Bebé, ¿no ves que estoy bien? Sí, me siento genial

Sabes que estoy dispuesta para lo que sea esta noche
No necesito los mayores lujos
No importa a dónde vaya, siempre es un buen momento, sí
Y yo, yo no necesito sentarme en el VIP
En el medio de la pista, allí es donde estaré
No tengo mucho, pero es suficiente para mí, sí

Porque estoy bien, sí, me siento genial
Bebé, voy a tener la mejor puta noche de mi vida
Y no importa a dónde me lleve, estoy dispuesta a lo que sea
Bebé, ¿no ves que estoy bien? Sí, me siento genial

Estoy bien
Bien
Estoy bien
¿No ves que estoy bien? Sí, me siento genial

Así que tan solo lo dejo ir, dejo ir
Oh, na-na-na-na-na
No, ya no me importa, no me importa
Oh, na-na-na-na-na
Así que vamos, hazme saber, hazme saber
Levanta las manos, na-na-na
No, bebé, nada nos frenará esta noche

Porque estoy bien, sí, me siento genial
Bebé, voy a tener la mejor puta noche de mi vida
Y no importa a dónde me lleve, estoy dispuesta a lo que sea
Bebé, ¿no ves que estoy bien? Sí, me siento genial",edm; dance
