Unnamed: 0,№,Title,Artist(s),lyrics,genres
10,11,"""Bump n' Grind""",R. Kelly,"60 ContributorsBump N’ Grind LyricsWritten, produced, and performed by the man himself, R. Kelly’s 1994 single “Bump n' Grind” was a huge hit. It later featured in American Pie: Reunion and on a fictional radio station on Grand Theft Auto IV.
My mind is telling me no
But my body, my body's telling me yes
Baby, I don't want to hurt nobody
But there is something that I must confess to you (woo)

I don't see nothing wrong with a little bump and grind
With a little bump and grind
I don't see nothing wrong, baby, hey
I don't see nothing wrong with a little bump and grind
I don't see nothing wrong with a little bump and grind
I don't see nothing wrong, hey, woah, let me hear you

See I know just what you want
And I know just what you need, girl
So baby, bring your body to me (bring your body here)
I'm not fooling around with you, huh
Baby, my love is true (with you)
With you is where I want to be

Girl you need someone
Someone like me, yeah
To satisfy your every need

I don't see nothing wrong with a little bump and grind
I don't see nothing wrong with a little bump and grind
I don't see nothing wrong, baby, baby, I don't see, woo
I don't see nothing wrong with a little bump and grind
I don't see nothing wrong with a little bump and grind
I don't see nothing wrong, baby, hey, huh

You say he's not treating you right
Then, lady, spend the night
I'll love you like you need to be love
Girl, won't you try some of me
No need to look no more
Because I've opened up my doors
You'll never feel another love you see
You'll never wanna another love
You'll never find another me

You need someone, someone like me, yeah
To make love to you, baby, constantly

I don't see nothing wrong with a little bump and grind
Hey, nothing wrong with a little bump and grind
I don't see nothing wrong, oh, woah
I don't see nothing wrong with a little bump and grind
I don't see nothing wrong with a little bump and grind
I don't see nothing wrong, baby, baby, alright","rnb, soul, Hip-Hop, rap, hip hop"
11,12,"""Again""",Janet Jackson,"14 ContributorsAgain Lyrics“Again” is a ballad by Janet Jackson, which appears on her fifth studio album, janet. The song was released as album’s third official single on October 12, 1993.
“Again” became a hit, reaching the #1 spot on… Read More 
I heard from a friend today
And she said you were in town
Suddenly the memories came back to me in my
Mind

""How can I be strong?"" I've asked myself
Time and time I've said
That I'll never fall in love with you again

A wounded heart you gave
My soul you took away
Good intentions, you had many
I know you did
I've come from a place that hurts
And God knows how I've cried
And I never want to return
Never fall again

Making love to you
Ooh, it felt so good and
Ooh, so right

""How can I be strong?"" I've asked myself
Time and time I've said
That I'll never fall in love with you again

So here we are alone again
Didn't think it'd come to this
And to know it all began
With just a little kiss
I've come too close to happiness
To have it swept away
I don't think I can take the pain
Never fall again

Kinda late in the game and my heart is in
Your hands
Don't you stand there and then
Tell me you love me then leave again
'Cause I'm falling in love with
You again

Hold me
Hold me
Don't ever let me go
Say it just one time
Say you love me
God knows I do
Love you
Again","pop, rnb, female vocalists, dance, soul"
12,13,"""I'll Remember""",Madonna,"14 ContributorsTranslationsPortuguêsУкраїнськаI’ll Remember Lyrics“I’ll Remember” is a song by Madonna recorded for the picture movie soundtrack of “With Honors”, released in 1994.
It was a radical change in image and style for Madonna, who had received some negative… Read More 
Mmm, mmm

Say good-bye
To not knowing when
The truth in my whole life began
Say good-bye
To not knowing how to cry
You taught me that

And I'll remember
The strength that you gave me
Now that I'm standing on my own
I'll remember
The way that you saved me
I'll remember

Inside
I was a child
That could not mend a broken wing
Outside
I looked for a way
To teach my heart to sing

And I'll remember
The love that you gave me
Now that I'm standing on my own
I'll remember
The way that you changed me
I'll remember

I learned
To let go
Of the illusion that we can possess
I learned
To let go
I travel in stillness

And I'll remember happiness
I'll remember (I'll remember)
Mmm... (I'll remember)
Mmm...

And I'll remember
The love that you gave me
Now that I'm standing on my own
I'll remember
The way that you changed me
I'll remember

No, I've never been afraid to cry
Now I finally have a reason why
I'll remember (I'll remember)
No, I've never been afraid to cry
Now I finally have a reason why
I'll remember (I'll remember)
No, ​I've never been afraid to cry
Now I finally have a reason why
I'll remember (I'll remember)","pop, dance, female vocalists, 80s, electronic"
13,14,"""Whatta Man""",Salt-n-Pepa featuring En Vogue,"54 ContributorsWhatta Man LyricsFrom Salt n Pepa’s 1993 album, Very Necessary. It peaked at #3 on the Billboard Hot 100, #1 on the Billboard Rap charts and was nominated for a Grammy for Best R&B Vocal Performance by a Duo or Group. It was… Read More 
Yeah, yeah, hey, ooh, yeah
Uh, hey, hey, hey
Alright (Ooh, yeah)

What a man, what a man, what a man
What a mighty good man (You got to say it again now)
What a man, what a man, what a man
What a mighty good man (Yeah, he's a mighty, mighty good man)
What a man, what a man, what a man
What a mighty good man (Yes, he is)
What a man, what a man, what a man
What a mighty good man (Oh, uh, yeah)

I wanna take a minute or two, and give much respect due
To the man that's made a difference in my world
And although most men are hoes, he flows on the down low
'Cause I never heard about him with another girl
But I don't sweat it because it's just pathetic to let it
Get me involved in that he said, she said crowd
I know that ain't nobody perfect
I give props to those who deserve it, and believe me y'all, he's worth it
So here's to the future 'cause we got through the past
I finally found somebody that can make me laugh
Hahaha, you so crazy
I think I wanna have your baby (Ow)

What a man, what a man, what a man
What a mighty good man (Alright, yes, he is)
What a man, what a man, what a man
What a mighty good man (Oh, he's a  mighty, mighty good man)
What a man, what a man, what a man (Ooh-ooh)
What a mighty good man (Uh, you gotta say it again now)
What a man, what a man, what a man
What a mighty good man (Yeah, hey)

My man is smooth like Barry and his voice got bass
A body like Arnold with a Denzel face
He's smart like a doctor with a real good rep
And when he comes home, he's relaxed with Pep
He always got a gift for me every time I see him
A lot of snot-nosed ex-flames couldn't be him
He never ran a corny line once to me yet
So I give him stuff that he'll never forget
He keeps me on cloud nine just like the Temps
He's not a fake wannabe tryin' to be a pimp
He dresses like a dapper don, but even in jeans
He's a God-sent original, the man of my dreams

Yes, my man says he loves me, never says he loves me not
Mine'll rush me good and touch me in the right spot
See other guys that I've had, they tried to play all that mack ****
But every time they tried I said, ""That's not it""
But not this man, he's got the right potion
Baby, rub it down and make it smooth like lotion
Yeah, the ritual, highway to heaven
From seven to seven he's got me open like 7-Eleven
And yes, it's me that he's always choosin'
With him I'm never losin', and he knows that my name is not Susan
He always has heavy conversation for the mind
Which means a lot to me 'cause good men are hard to find

What a man, what a man, what a man
What a mighty good man (Uh, yeah, he's a  mighty, mighty good man)
What a man, what a man, what a man (Ooh, alright)
What a mighty good man (Say it again now)
What a man, what a man, what a man
What a mighty good man (Uh, ooh-ooh)
What a man, what a man, what a man
What a mighty good man (Oh, I said what a mighty good man)

You know what I'm sayin'? He's a mighty, mighty good man, y'all
Y'all don't hear me, now check him out

My man gives real loving, that's why I call him killer
He's not a wham-bam-thank-you-ma'am, he's a thriller
He takes his time and does everything right
Knocks me out with one shot for the rest of the night
He's a real smooth brother, never in a rush
And he gives me goose pimples with every single touch
Spends quality time with his kids when he can
Secure in his manhood 'cause he's a real man
A lover and a fighter and he'll knock a knucker out
Don't take him for a sucker, 'cause that's not what he's about
Every time I need him, he always got my back
Never disrespectful 'cause his mama taught him that (I've got a good man)

What a man, what a man, what a man
What a mighty good man (Uh, a mighty, mighty good man)
What a man, what a man, what a man (Yeah, talk to 'em)
What a mighty good man (Yes, he is, oh)
What a man, what a man, what a man
What a mighty good man (What a mighty good man)
What a man, what a man, what a man
What a mighty good man (He's a mighty, mighty good man, y'all)

Uh, what a mighty, mighty good man, y'all
Yeah, what a mighty good man
Yeah, hoo
Now break it down
A-break it down a-one time

Good God
Good God
What a man, what a man (Good God)
Good God
What a man, what a man (Good God)
Good God
What a man, what a man (Good God)
Good God
What a man, what a man (Good God)","Hip-Hop, rap, female vocalists, 80s, hip hop"
14,15,"""Wild Night""",John Mellencamp with Meshell Ndegeocello,,
15,16,"""Without You"" / ""Never Forget You""",Mariah Carey,,"pop, rnb, female vocalists, soul, Mariah Carey"
16,17,"""You Mean the World to Me""",Toni Braxton,"11 ContributorsYou Mean the World to Me LyricsYou Mean the World to Me was released in April 1994 as the album’s fourth single. It was a radio hit peaking at number seven on the U.S. Billboard Hot 100 and number three on the Billboard Hot R&B/Hip-Hop… Read More 
If you could give me one good reason
Why I should believe you
Believe in all the things that you tell
I would sure like to believe you
My heart wants to receive you
Just make me know that you are sincere
You know I'd love for you to lead me
And follow through completely
So won't you give me all I ask for?
And if you give your very best
To bring me happiness
I'll show you just how much I adore you

'Cause you mean the world to me
You are my everything
I swear the only thing that matters
Matters to me
Oh baby, baby, baby, baby, baby
'cause you mean so much to me

Now it's gonna take some workin'
But I believe you're worth it
Long as your intentions are good (so good)
There is just one way to show it
And boy I hope you know it
That no one could love you like I could
Lord knows I want to trust you
And always how I'd love you
I'm not sure if love is enough
And I will not be forsaken
And I hope there's no mistakin'
So tell me that you'll always be true

'Cause you mean the world to me
You are my everything
I swear the only thing that matters
Matters to me
Oh baby, baby, baby, baby, baby
'cause you mean so much to me
'Cause you mean the world to me
You are my everything
I swear the only thing that matters
Matters to me
Oh baby, baby, baby, baby, baby
'cause you mean so much to me

There's a feeling in my heart that I know I can't escape
So please don't let me fall, don't let it be too late
There's a time when words are good then they just get in the way
So show me how you feel, baby I'm for real
Oh, baby, baby, baby, baby, baby

'Cause you mean the world to me
You are my everything
I swear the only thing that matters
Matters to me
Oh baby, baby, baby, baby, baby
'cause you mean so much to me
'Cause you mean the world to me
You are my everything
I swear the only thing that matters
Matters to me
Oh baby, baby, baby, baby, baby
'cause you mean so much to me","soul, rnb, female vocalists, pop, 90s"
17,18,"""Can You Feel the Love Tonight""",Elton John,"52 ContributorsCan You Feel the Love Tonight LyricsAn alternate version of the song of the same name from the 1994 Disney animated film The Lion King. This version is a piano-driven soft rock ballad by famed English singer-songwriter Elton John, who also… Read More 
There's a calm surrender to the rush of day
When the heat of a rolling wind can be turned away
An enchanted moment, and it sees me through
It's enough for this restless warrior just to be with you

And can you feel the love tonight? (Tonight)
It is where we are
It's enough for this wide-eyed wanderer
That we got this far
And can you feel the love tonight? (Tonight)
How it's laid to rest?
It's enough to make kings and vagabonds
Believe the very best

There's a time for everyone, if they only learn
That the twistin' kaleidoscope moves us all in turn
There's a rhyme and reason to the wild outdoors
When the heart of this star-crossed voyager beats in time with yours

And can you feel the love tonight? (Tonight)
It is where we are
It's enough for this wide-eyed wanderer
That we got this far
And can you feel the love tonight? (Tonight)
How it's laid to rest?
It's enough to make kings and vagabonds
Believe the very best

It's enough to make kings and vagabonds
Believe the very best","pop, classic rock, singer-songwriter, rock, piano"
18,19,"""The Most Beautiful Girl in the World""",Prince,"13 ContributorsThe Most Beautiful Girl in the World LyricsPrince’s “The Most Beautiful Girl in the World” was originally released as a standalone single on Valentine’s Day, 1994. The 70s-soul-inspired slow groove ballad was the first released under Prince’s… Read More 
Could you be
The most beautiful girl in the world?
It's plain to see
You're the reason that God made a girl

When the day turns into
The last day of all time
I can say I hope you are in
These arms of mine
And when the night falls before that day
I will cry, I will cry
Tears of joy, 'cause after you
All one can do is die, oh

Could you be
The most beautiful girl in the world?
Could you be?
It's plain to see
You're the reason that God made a girl
Oh, yes, you are

How can I get through days
When I can't get through hours?
I can try, but when I do
I see you and I'm devoured, oh, yes
Who'd allow, who'd allow
A face to be soft as a flower? Oh
I could bow (Bow down)
And feel proud in the light of this power
Oh, oh, yes, oh

Could you be, could you be
The most beautiful girl in the world?
Could you be?
It's plain to see
You're the reason that God made a girl
Oh, yes, you are

And if the stars ever fell one by one from the sky
I know Mars could not be, uh, too far behind
'Cause baby, this kind of beauty
Has got no reason to ever be shy
'Cause honey, this kind of beauty
Is the kind that comes from inside

Could you be (Could you be?)
The most beautiful girl in the world?
So beautiful, beautiful
It's plain to see, plain to see
You're the reason that God made a girl
Oh, yeah, oh, yeah! (Oh, yes, you are)

Girl (Could you be?)
You must be, oh, yeah!
(Could you be?)
You're the reason, oh, yeah
(Could, could, could)","funk, pop, soul, rock, 80s"
19,20,"""Fantastic Voyage""",Coolio,"37 ContributorsFantastic Voyage Lyrics“Fantastic Voyage” is a song by American rapper Coolio. It was released in March 1994 as the third single from his debut album, It Takes a Thief. The song later featured on the album Fantastic Voyage: The… Read More 
A'ight
Ugh, yeah
Oh yeah, that's right
Playas
Yeah
Yeah, that's the ticket

Come on y'all, let's take a ride
Don't you say shit, just get inside
It's time to take your ass on another kind of trip
'Cause you can't have the hop if you don't have the hip
Grab yo' gat with the extra clip
And close yo' eyes and hit the switch
We're going to a place where everybody kick it
Kick it, kick it Yeah, that's the ticket
Ain't no bloodin', ain't no crippin'
Ain't no punk ass niggas set trippin'
Everybody got a stack and it ain't no crack
And it really don't matter if you're white or black
I wanna take you there like the Staple Singers
Put something in the tank, and I know that I can bring ya
If ya can't take the heat, get ya ass out the kitchen
We on a mission

Come along and ride on a fantastic voyage
Slide, slide slippity slide
I'm hittin' switches on the block in a '65
Come along and ride on a fantastic voyage
Slide, slide hoo ride, ain't no valley low enough or mountain high

I'm tryin' to find a place where I can live my life and
Maybe eat some steak with my beans and rice
A place where my kids can play outside without livin' in fear of a drive-by
And even if I get away from them drive by killas
I still gotta worry about those snitch ass niggas
I keep on searchin' and I keep on lookin'
But niggas are the same from Watts to Brooklyn
I try to keep my faith in my people
But sometimes my people be actin' like they evil
You don't understand about runnin' with a gang
'Cause you don't gang bang
And you don't have to stand on the corner and slang
'Cause you got your own thang
You can't help me if you can't help yourself
You better make a left

Come along and ride on a Fantastic Voyage
Slide, slide slippity slide
I do what I do just to survive
(Come along and ride on a Fantastic Voyage)
Slide slide hoo ride, that's why I pack my 45

Life is a bitch and then you die
Still trying to get a piece of that apple pie
Every game ain't the same 'cause the game still remain
Don't it seem kinda strange ain't a damn thing changed
If you don't work then you don't eat
And only down ass niggas can ride with me
Hop hop hop the 5 quickly down the block
Stay sucker free and keep the busters off your jock
You gotta have heart son if you wanna go
Watch this switch chariot, swing low
Ain't nobody crying, ain't nobody dyin'
Ain't nobody worryin', everybody's tryin'
Nothing from nothin' leaves nothin'
If you wanna have somethin' you better stop frontin'
What you gonna do when the 5 roll by?
You better be ready so you can ride

Come along and ride on a fantastic voyage
Slide slide slippity slide when you're living in the city it's do or die
Come along and ride on a fantastic voyage
Slide slide hoo ride you better be ready when the 5 roll by

Just roll along (that's what you do)
Just roll along (that's right)
Just roll along (that's what you do)
Just roll along (that's right)

To the hood of funk
To the hood of funk
To the hood of funk
To the hood of funk
To the hood of funk
To the hood of funk

Come along and ride on a fantastic voyage
Slide slide slippity slide when you're living in the city it's do or die
Come along and ride on a fantastic voyage
Slide slide hoo ride you better be ready when the 5 roll by","rap, Hip-Hop, 90s, hip hop, West Coast Rap"
20,21,"""Baby, I Love Your Way""",Big Mountain,"18 ContributorsBaby, I Love Your Way Lyrics
Ooh, baby, I love your way, every day, yeah-eeh-yeah
Ooh, baby, I love your way, every day

Shadows grew so long before my eyes
And they're moving across the page
Suddenly the day turns into night (Ooh)
Far away from the city

But don't, oh no, hesitate
'Cause your love just won't wait, hey-eeh-yeah-yeah

Ooh, baby, I love your way, every day, yeah-eeh-yeah
I wanna tell you I love your way, every day, yeah-yeah
I wanna be with you night and day

The moon appears to shine and light the sky
With the help of some fireflies
I wonder how they have the power to shine, shine, shine
Well, I can see them under the pine

But don't, woah no no, hesitate, la-di-dah
'Cause your love just won't wait
Hey-eeh-yeah-yeah!

Ooh, baby, I love your way, every day, yeah-eeh-yeah
I wanna tell you I love your way, every day, ey-yeah!
I wanna be with you night and day
Woah, baby, oh baby, please!

Every day, yeah-eeh-yeah!
How I love, how I love ya-hah
(I love your way)
Oh, baby, please!

I can see the sunset in your eyes
Brown and grey and blue besides
Clouds are stalking islands in the sun
I wish I could buy one out of season
But don't, oh no no, hesitate, la-di-dah!
'Cause your love just won't wait
Just won't wait

Ooh, baby, I love your way
Every, every day-eeh-yay!
I wanna tell you I love your way
I wanna tell you how I love your little ways
I wanna be with you night and day
Every day in every way, yeah!

Biliabidididastopdayeday

(Ooh, baby, I love your way)
Ooh baby, how I love your little ways
(I wanna tell you I love your way)
I wanna tell you how I, I wanna tell you how I love your little ways
(I wanna be with you night and day)
Bididiabididisapidadee-yeah
(Ooh baby, I love your way)
Ooh, baby, baby, baby","reggae, pop, reggae-pop, 90s, 80s"
21,22,"""Regulate""",Warren G and Nate Dogg,"170 ContributorsRegulate LyricsA storybook rap, marking the meeting point of old, early rap traditions with the “gangsta”-image being formulated at the time.
In a sense, the entire song is an allegory: Nate Dogg must overcome the burden… Read More 
Regulators
We regulate any stealin' of his property
We're damn good too
But you can't be any geek off the street
You gotta be handy with the steel, if you know what I mean
Earn your keep
Regulators, mount up

It was a clear black night, a clear white moon
Warren G was on the streets, tryin' to consume
Some skirts for the eve, so I can get some phones
Rollin' in my ride, chillin' all alone

Just hit the Eastside of the LBC
On a mission, tryin' to find Mr. Warren G
Seen a car full of girls, ain't no need to tweak
All you skirts know what's up with 213

So I hooks a left on 21 and Lewis
Some brothers shootin' dice, so I said, ""Let's do this""
I jumped out the ride and said, ""What's up?""
Some brothers pulled some gats, so I said, ""I'm stuck""

Since these girls peepin' me, I'ma glide and swerve
These hookers lookin' so hard, they straight hit the curb
Onto bigger, better things than some horny tricks
I see my homie and some suckers all in his mix

I'm gettin' jacked, I'm breakin' myself
I can't believe they takin' Warren's wealth
They took my rings, they took my Rolex
I looked at the brothers, said, ""Damn, what's next?""

They got my homie hemmed up and they all around
Can't none of them see him if they goin' straight pound-for-pound
They wanna come up real quick before they start to clown
I best pull out my strap and lay them busters down

They got guns to my head, I think I'm goin' down
I can't believe it's happenin' in my own town
If I had wings, I would fly, let me contemplate
I glanced in the cut and I see my homie Nate

Sixteen in the clip and one in the hole
Nate Dogg is about to make some bodies turn cold
Now they droppin' and yellin', it's a tad bit late
Nate Dogg and Warren G had to regulate


I laid all them busters down, I let my gat explode
Now I'm switchin' my mind back into freak mode
If you want skirts, sit back and observe
I just left a gang of hoes over there on the curb

Now, Nate got the freaks and that's a known fact
Before I got jacked, I was on the same track
Back up, back up 'cause it's on
N-A-T-E and me, the Warren to the G

Just like I thought, they were in the same spot, in need of some desperate help
But Nate Dogg and the G child were in need of somethin' else
One of them dames was sexy as hell, I said, ""Ooh, I like your size""
She said, ""My car's broke down and you seem real nice, would you let me ride?""
I got a car full of girls and it's goin' real swell
The next stop is the Eastside Motel


I'm tweaking into a whole new era
G-funk, step to this, I dare you
Funk on a whole new level
The rhythm is the bass and the bass is the treble
Chords, strings, we brings melody, G-funk
Where rhythm is life and life is rhythm

If you know like I know, you don't wanna step to this
It's the G-funk era, funked out with a gangster twist
If you smoke like I smoke, then you're high like every day
And if your ass is a buster, 213 will regulate","G-funk, Hip-Hop, rap, west coast, hip hop"
22,23,"""If You Go""",Jon Secada,"6 ContributorsIf You Go Lyrics
Taking a day at a time
Dealing with feelings I don't wanna hide
Learning to love as I go, baby
Without taking you along for a ride

Tried to find myself
Tried to find the truth
Get out from this shell
Girl I'm almost there
To show you how much I really care

If you go, say goodbye
There'll be something missing in my life
'Cause you know
That all I really (all I really) want is you (is you, baby)

Sorry if you felt misled
But I know what I feel, I know what I said, baby
God I hope you believe, believe in all that we can be
The future in us together in love

You're the reason I'm strong (you're the reason)
Don't you think I don't know
This is where I belong
Give me the time
To say that you're mine, to say that you're mine

If you go, say goodbye
There'll be something missing in my life
'Cause you know
That all I really want is you (is you)
(All I really want)
If you go, say goodbye
There'll be something missing in my life
'Cause you know (cause you know)
That all I really want is you (is you)

Tried to find myself (Tried to find myself)
Tried to find the truth (Tried to find myself)
Get out from this shell
Girl I'm almost there
So let me show you, so let me show you

If you go, say goodbye
There'll be something missing in my life (in my life)
'Cause you know (baby)
That all I really want is you (is you)(baby yeah)
If you go, say goodbye (say goodbye)
There'll be something missing in my life (in my life)
'Cause you know (baby)
That all I really (all I really) want is you
All I really want
All I really want is you
All I really want is you

If you go, say goodbye
There'll be something missing in my life (in my life)
'Cause you know (baby)
That all I really want is you (is you)","pop, latin, 90s, 80s, male vocalists"
23,24,"""Back & Forth""",Aaliyah,"40 ContributorsBack & Forth Lyrics“Back and Forth” was the debut single from late teen R&B sensation Aaliyah. The bass-heavy midtempo song featured unison female background vocals and rapped male chants that combined for a singalong-ready… Read More 
Let me see you go back (Move, it's the L-I-Y-A-H)
Let me see you come forth
Now let me see you go back (Move, it's the L-I-Y-A-H)
Let me see you come forth
Uh, let me see you go back (Move, it's the L-I-Y-A-H)
Let me see you come forth
Uh, let me see you go back (Move, it's the L-I-Y-A-H)
Let me see you come forth, yeah

It's Friday and I'm ready to swing
Pick up my girls and hit the party scene
Tonight, oh, it's alright, mmm
So get up and let this funky mellow groove
Get you in the mood
'Cause you know it's alright

So Mr. DJ, keep the music grooving (Keep on grooving)
Don't stop moving (Don't stop moving)
Let me see you, let me see you go

(Let me see you back and forth, now check it)
Back, back, forth, and forth
(Let me see you back and forth, now check it)
Go back
Let me see you go
(Let me see you back and forth, now check it)
Back, back, forth, and forth
Alright
(Let me see you back and forth, now check it)
I wanna see you go
(Let me see you back and forth, now check it)
Back, back, forth, and forth
Come on
(Let me see you back and forth, now check it)
Let me see you go
(Let me see you back and forth, now check it)
Back, back, forth, and forth
See you go back and forth
(Let me see you back and forth, now check it, check it)

Now's the time for you to make your move to the dance floor
So throw your hands in the air
And wave 'em around like you just don't care, yeah
Who is the L-I-Y-A-H?
Ripping up the stage
I got jazz personality, G mentality, beats the Soul Train

So Mr. DJ, keep the music grooving (Keep on grooving)
Don't stop moving
Now let me see you go back and forth
Back and forth, yeah

(Let me see you back and forth, now check it)
Back, back, forth, and forth, oh
(Let me see you back and forth, now check it)
(Let me see you back and forth, now check it)
Back, back, forth, and forth, oh
(Let me see you back and forth, now check it)
(Let me see you back and forth, now check it)
Back, back, forth, and forth
(Let me see you back and forth, now check it)
Back, back, forth, and forth
(Let me see you back and forth, now check it)
Back, back, forth, and forth
(Let me see you back and forth, now check it)
Come on
(Let me see you back and forth, now check it)
And let me see you go

Hey, here’s the formality
Get upon the floor, you see
Show your personality, be who you wanna be, tell me
See, can you feel the groove moving when I'm with you?
Hey, I wanna keep this party going on all night

So Mr. DJ, keep the music grooving (Keep on grooving)
Don't stop movin' (Don't stop movin')
Now let me see you go back and forth
Back and forth

(Let me see you back and forth, now check it)
Back, back, forth, and forth
(Let me see you back and forth, now check it)
Alright
Let me see you go
(Let me see you back and forth, now check it)
Go back, back, forth, and forth
(Let me see you back and forth, now check it)
Go back, back, forth, and forth
(Let me see you back and forth, now check it)
Bring it back, thinking forth
Alright
(Let me see you back and forth, now check it)
Back, back, forth, and forth
(Let me see you back and forth, now check it)
Back, back, forth, and forth
(Let me see you back and forth, now check it)

Who is the L-I-Y-A-H?
Who is the L-I-Y-A-H?
Who is the L-I-Y-A-H?
Who is the L-I-Y-A-H?
Who is the L-I-Y-A-H?","rnb, soul, female vocalists, pop, Hip-Hop"
