,No.,Title,Artist(s)
0,1,"""Shape of You""",Ed Sheeran
1,2,"""Despacito (Remix)""",Luis Fonsi and Daddy Yankee featuring Justin Bieber
2,3,"""That's What I Like""",Bruno Mars
3,4,"""Humble""",Kendrick Lamar
4,5,"""Something Just Like This""",The Chainsmokers and Coldplay
5,6,"""Bad and Boujee""",Migos featuring Lil Uzi Vert
6,7,"""Closer""",The Chainsmokers featuring Halsey
7,8,"""Body Like a Back Road""",Sam Hunt
8,9,"""Believer""",Imagine Dragons
9,10,"""Congratulations""",Post Malone featuring Quavo
10,11,"""Say You Won't Let Go""",James Arthur
11,12,"""I'm the One""","DJ Khaled featuring Justin Bieber, Quavo, Chance the Rapper and Lil Wayne"
12,13,"""XO Tour Llif3""",Lil Uzi Vert
13,14,"""Mask Off""",Future
14,15,"""Unforgettable""",French Montana featuring Swae Lee
15,16,"""24K Magic""",Bruno Mars
16,17,"""Stay""",Zedd and Alessia Cara
17,18,"""Wild Thoughts""",DJ Khaled featuring Rihanna and Bryson Tiller
18,19,"""Black Beatles""",Rae Sremmurd featuring Gucci Mane
19,20,"""Starboy""",The Weeknd featuring Daft Punk
20,21,"""Location""",Khalid
21,22,"""Attention""",Charlie Puth
22,23,"""There's Nothing Holdin' Me Back""",Shawn Mendes
23,24,"""Bodak Yellow""",Cardi B
24,25,"""Redbone""",Childish Gambino
25,26,"""I Don't Wanna Live Forever""",Zayn and Taylor Swift
26,27,"""It Ain't Me""",Kygo and Selena Gomez
27,28,"""iSpy""",Kyle featuring Lil Yachty
28,29,"""Issues""",Julia Michaels
29,30,"""Scars to Your Beautiful""",Alessia Cara
30,31,"""1-800-273-8255""",Logic featuring Alessia Cara and Khalid
31,32,"""Slow Hands""",Niall Horan
32,33,"""Love on the Brain""",Rihanna
33,34,"""I Feel It Coming""",The Weeknd featuring Daft Punk
34,35,"""Bounce Back""",Big Sean
35,36,"""Strip That Down""",Liam Payne featuring Quavo
36,37,"""Fake Love""",Drake
37,38,"""Don't Wanna Know""",Maroon 5 featuring Kendrick Lamar
38,39,"""Look What You Made Me Do""",Taylor Swift
39,40,"""Castle on the Hill""",Ed Sheeran
40,41,"""Bad Things""",Machine Gun Kelly and Camila Cabello
41,42,"""Paris""",The Chainsmokers
42,43,"""Side to Side""",Ariana Grande featuring Nicki Minaj
43,44,"""Rockabye""",Clean Bandit featuring Sean Paul and Anne-Marie
44,45,"""Feel It Still""",Portugal. The Man
45,46,"""Let Me Love You""",DJ Snake featuring Justin Bieber
46,47,"""Sorry Not Sorry""",Demi Lovato
47,48,"""Bank Account""",21 Savage
48,49,"""Can't Stop the Feeling!""",Justin Timberlake
49,50,"""Mi Gente""",J Balvin and Willy William featuring Beyoncé
50,51,"""Thunder""",Imagine Dragons
51,52,"""T-shirt""",Migos
52,53,"""Rake It Up""",Yo Gotti featuring Nicki Minaj
53,54,"""Mercy""",Shawn Mendes
54,55,"""Tunnel Vision""",Kodak Black
55,56,"""Rockstar""",Post Malone featuring 21 Savage
56,57,"""In Case You Didn't Know""",Brett Young
57,58,"""Heathens""",Twenty One Pilots
58,59,"""Now or Never""",Halsey
59,60,"""Caroline""",Aminé
60,61,"""Rolex""",Ayo & Teo
61,62,"""DNA""",Kendrick Lamar
62,63,"""Juju on That Beat (TZ Anthem)""",Zay Hilfigerrr & Zayion McCall
63,64,"""Swang""",Rae Sremmurd
64,65,"""Passionfruit""",Drake
65,66,"""Loyalty""",Kendrick Lamar featuring Rihanna
66,67,"""Praying""",Kesha
67,68,"""Goosebumps""",Travis Scott
68,69,"""Cold""",Maroon 5 featuring Future
69,70,"""Broccoli""",DRAM featuring Lil Yachty
70,71,"""Slide""",Calvin Harris featuring Frank Ocean and Migos
71,72,"""What Ifs""",Kane Brown featuring Lauren Alaina
72,73,"""Chained to the Rhythm""",Katy Perry featuring Skip Marley
73,74,"""Feels""","Calvin Harris featuring Pharrell Williams, Katy Perry and Big Sean"
74,75,"""All Time Low""",Jon Bellion
75,76,"""Hurricane""",Luke Combs
76,77,"""Too Good at Goodbyes""",Sam Smith
77,78,"""Young Dumb & Broke""",Khalid
78,79,"""Magnolia""",Playboi Carti
79,80,"""Love Galore""",SZA featuring Travis Scott
80,81,"""Drowning""",A Boogie wit da Hoodie featuring Kodak Black
81,82,"""Starving""",Hailee Steinfeld and Grey featuring Zedd
82,83,"""Both""",Gucci Mane featuring Drake
83,84,"""What About Us""",P!nk
84,85,"""Swalla""",Jason Derulo featuring Nicki Minaj and Ty Dolla Sign
85,86,"""Slippery""",Migos featuring Gucci Mane
86,87,"""Sign of the Times""",Harry Styles
87,88,"""Water Under the Bridge""",Adele
88,89,"""Malibu""",Miley Cyrus
89,90,"""Down""",Marian Hill
90,91,"""No Promises""",Cheat Codes featuring Demi Lovato
91,92,"""Treat You Better""",Shawn Mendes
92,93,"""I Get the Bag""",Gucci Mane featuring Migos
93,94,"""Small Town Boy""",Dustin Lynch
94,95,"""Everyday We Lit""",YFN Lucci featuring PnB Rock
95,96,"""Havana""",Camila Cabello featuring Young Thug
96,97,"""What Lovers Do""",Maroon 5 featuring SZA
97,98,"""Do Re Mi""",Blackbear
98,99,"""Look at Me!""",XXXTentacion
99,100,"""The Fighter""",Keith Urban featuring Carrie Underwood
