,No.,Title,Artist(s)
0,1,"""God's Plan""",Drake
1,2,"""Perfect""",Ed Sheeran
2,3,"""Meant to Be""",Bebe Rexha featuring Florida Georgia Line
3,4,"""Havana""",Camila Cabello featuring Young Thug
4,5,"""Rockstar""",Post Malone featuring 21 Savage
5,6,"""Psycho""",Post Malone featuring Ty Dolla Sign
6,7,"""I Like It""","Cardi B, Bad Bunny and J Balvin"
7,8,"""The Middle""","Zedd, Maren Morris and Grey"
8,9,"""In My Feelings""",Drake
9,10,"""Girls Like You""",Maroon 5 featuring Cardi B
10,11,"""Nice for What""",Drake
11,12,"""Lucid Dreams""",Juice Wrld
12,13,"""Better Now""",Post Malone
13,14,"""Finesse""",Bruno Mars featuring Cardi B
14,15,"""Boo'd Up""",Ella Mai
15,16,"""New Rules""",Dua Lipa
16,17,"""Sad!""",XXXTentacion
17,18,"""Never Be the Same""",Camila Cabello
18,19,"""Love Lies""",Khalid and Normani
19,20,"""No Tears Left to Cry""",Ariana Grande
20,21,"""Mine""",Bazzi
21,22,"""Thunder""",Imagine Dragons
22,23,"""Look Alive""",BlocBoy JB featuring Drake
23,24,"""Delicate""",Taylor Swift
24,25,"""Yes Indeed""",Lil Baby and Drake
25,26,"""Friends""",Marshmello and Anne-Marie
26,27,"""Bad at Love""",Halsey
27,28,"""Taste""",Tyga featuring Offset
28,29,"""Let You Down""",NF
29,30,"""No Limit""",G-Eazy featuring ASAP Rocky and Cardi B
30,31,"""Fefe""",6ix9ine featuring Nicki Minaj and Murda Beatz
31,32,"""Tequila""",Dan + Shay
32,33,"""Feel It Still""",Portugal. The Man
33,34,"""MotorSport""","Migos, Nicki Minaj and Cardi B"
34,35,"""I Like Me Better""",Lauv
35,36,"""Youngblood""",5 Seconds of Summer
36,37,"""Whatever It Takes""",Imagine Dragons
37,38,"""Ric Flair Drip""",Offset and Metro Boomin
38,39,"""I Fall Apart""",Post Malone
39,40,"""Pray for Me""",The Weeknd and Kendrick Lamar
40,41,"""Back to You""",Selena Gomez
41,42,"""Sicko Mode""",Travis Scott
42,43,"""Walk It Talk It""",Migos featuring Drake
43,44,"""Gucci Gang""",Lil Pump
44,45,"""Him & I""",G-Eazy and Halsey
45,46,"""In My Blood""",Shawn Mendes
46,47,"""All the Stars""",Kendrick Lamar and SZA
47,48,"""Stir Fry""",Migos
48,49,"""Too Good at Goodbyes""",Sam Smith
49,50,"""Love""",Kendrick Lamar featuring Zacari
50,51,"""This Is America""",Childish Gambino
51,52,"""Nonstop""",Drake
52,53,"""Heaven""",Kane Brown
53,54,"""Bodak Yellow""",Cardi B
54,55,"""Freaky Friday""",Lil Dicky featuring Chris Brown
55,56,"""Gummo""",6ix9ine
56,57,"""Plug Walk""",Rich the Kid
57,58,"""Wait""",Maroon 5
58,59,"""Be Careful""",Cardi B
59,60,"""Wolves""",Selena Gomez and Marshmello
60,61,"""Bartier Cardi""",Cardi B featuring 21 Savage
61,62,"""God Is a Woman""",Ariana Grande
62,63,"""Big Bank""","YG featuring 2 Chainz, Nicki Minaj and Big Sean"
63,64,"""Sorry Not Sorry""",Demi Lovato
64,65,"""How Long""",Charlie Puth
65,66,"""Lights Down Low""",Max featuring Gnash
66,67,"""Young Dumb & Broke""",Khalid
67,68,"""One Kiss""",Calvin Harris and Dua Lipa
68,69,"""Natural""",Imagine Dragons
69,70,"""You Make It Easy""",Jason Aldean
70,71,"""Shape of You""",Ed Sheeran
71,72,"""I Get the Bag""",Gucci Mane featuring Migos
72,73,"""No Brainer""","DJ Khaled featuring Justin Bieber, Chance the Rapper and Quavo"
73,74,"""Plain Jane""",ASAP Ferg featuring Nicki Minaj
74,75,"""Sky Walker""",Miguel featuring Travis Scott
75,76,"""Marry Me""",Thomas Rhett
76,77,"""Eastside""","Benny Blanco, Halsey and Khalid"
77,78,"""Call Out My Name""",The Weeknd
78,79,"""King's Dead""","Jay Rock, Kendrick Lamar, Future and James Blake"
79,80,"""Happier""",Marshmello and Bastille
80,81,"""Te Boté""","Nio García, Darell and Casper Mágico featuring Bad Bunny, Nicky Jam and Ozuna"
81,82,"""Simple""",Florida Georgia Line
82,83,"""Lemon""",N.E.R.D and Rihanna
83,84,"""1-800-273-8255""",Logic featuring Alessia Cara and Khalid
84,85,"""Say Something""",Justin Timberlake featuring Chris Stapleton
85,86,"""I'm Upset""",Drake
86,87,"""Get Along""",Kenny Chesney
87,88,"""Moonlight""",XXXTentacion
88,89,"""What Lovers Do""",Maroon 5 featuring SZA
89,90,"""X""",Nicky Jam and J Balvin
90,91,"""Outside Today""",YoungBoy Never Broke Again
91,92,"""Trip""",Ella Mai
92,93,"""Dura""",Daddy Yankee
93,94,"""Changes""",XXXTentacion
94,95,"""Mercy""",Brett Young
95,96,"""One Number Away""",Luke Combs
96,97,"""Powerglide""",Rae Sremmurd featuring Juicy J
97,98,"""IDGAF""",Dua Lipa
98,99,"""Mi Gente""",J Balvin and Willy William featuring Beyoncé
99,100,"""Believer""",Imagine Dragons
